,mean,std,model,emb-type,stand-type,E-type,min,max,ec-type
0,0.4211072114995626,0.00741064712139,k-means,E5,Norm.,Train,0.4136965643781726,0.4285178586209526,E5 Norm. k-means
1,0.2974226132290649,0.0115228687050576,k-means,E5,Norm.,Test,0.2858997445240073,0.30894548193412247,E5 Norm. k-means
2,0.9119254327780076,0.0075602677996067,Naïve Bayes,E5,Norm.,Train,0.9043651649784009,0.9194857005776144,E5 Norm. Naïve Bayes
3,0.3615998696643857,0.0235132220346032,Naïve Bayes,E5,Norm.,Test,0.33808664762978247,0.3851130916989889,E5 Norm. Naïve Bayes
4,0.4007270680705268,0.0080048435639425,KNN,E5,Norm.,Train,0.39272222450658434,0.4087319116344693,E5 Norm. KNN
5,0.2986436950146627,0.0214254365456107,KNN,E5,Norm.,Test,0.277218258469052,0.3200691315602734,E5 Norm. KNN
6,0.2458636045132363,0.0014476293879626,Decision Tree,E5,Norm.,Train,0.2444159751252737,0.2473112339011989,E5 Norm. Decision Tree
7,0.1473028673835125,0.0100641286734534,Decision Tree,E5,Norm.,Test,0.1372387387100591,0.1573669960569659,E5 Norm. Decision Tree
8,0.1852313280441777,0.0105583051675687,SVM,E5,Norm.,Train,0.174673022876609,0.1957896332117464,E5 Norm. SVM
9,0.1553722710980775,0.0061154277573,SVM,E5,Norm.,Test,0.1492568433407775,0.1614876988553775,E5 Norm. SVM
10,0.3260736219818946,0.0321473927881992,Random Forest,E5,Norm.,Train,0.2939262291936954,0.3582210147700938,E5 Norm. Random Forest
11,0.1125660577935419,0.0132207449100852,Random Forest,E5,Norm.,Test,0.0993453128834567,0.1257868027036271,E5 Norm. Random Forest
12,0.2330199355626774,0.0486085682284393,XGBoost,E5,Norm.,Train,0.18441136733423807,0.2816285037911167,E5 Norm. XGBoost
13,0.1014974803487647,0.0137558086027298,XGBoost,E5,Norm.,Test,0.0877416717460349,0.1152532889514945,E5 Norm. XGBoost
14,0.3897307232566624,0.005033272403128,k-means,LaBSE,Lemm.,Train,0.3846974508535344,0.3947639956597904,LaBSE Lemm. k-means
15,0.2441568914956011,0.0197649695219849,k-means,LaBSE,Lemm.,Test,0.2243919219736162,0.263921861017586,LaBSE Lemm. k-means
16,0.5694097609702654,0.0056661596799112,Naïve Bayes,LaBSE,Lemm.,Train,0.5637436012903542,0.5750759206501767,LaBSE Lemm. Naïve Bayes
17,0.2421432062561094,0.0160823074732632,Naïve Bayes,LaBSE,Lemm.,Test,0.22606089878284621,0.25822551372937264,LaBSE Lemm. Naïve Bayes
18,0.372578674535774,0.003656491188814,KNN,LaBSE,Lemm.,Train,0.36892218334696,0.376235165724588,LaBSE Lemm. KNN
19,0.2687772890192245,0.0166197817442795,KNN,LaBSE,Lemm.,Test,0.252157507274945,0.28539707076350396,LaBSE Lemm. KNN
20,0.2540368612520246,0.0083764405724786,Decision Tree,LaBSE,Lemm.,Train,0.24566042067954602,0.26241330182450323,LaBSE Lemm. Decision Tree
21,0.1634473769957641,0.0140834998523383,Decision Tree,LaBSE,Lemm.,Test,0.14936387714342578,0.1775308768481024,LaBSE Lemm. Decision Tree
22,0.1775622050802151,0.0025869078297844,SVM,LaBSE,Lemm.,Train,0.1749752972504307,0.18014911290999952,LaBSE Lemm. SVM
23,0.1436787227109807,0.0162457885000584,SVM,LaBSE,Lemm.,Test,0.1274329342109223,0.1599245112110391,LaBSE Lemm. SVM
24,0.1415388134850206,0.0080832052336467,Random Forest,LaBSE,Lemm.,Train,0.1334556082513739,0.1496220187186673,LaBSE Lemm. Random Forest
25,0.0789821222311946,0.0054410345918332,Random Forest,LaBSE,Lemm.,Test,0.07354108763936139,0.0844231568230278,LaBSE Lemm. Random Forest
26,0.1421378805483556,0.0229607107372209,XGBoost,LaBSE,Lemm.,Train,0.1191771698111347,0.1650985912855765,LaBSE Lemm. XGBoost
27,0.0758486573785405,0.0141113981711475,XGBoost,LaBSE,Lemm.,Test,0.06173725920739301,0.089960055549688,LaBSE Lemm. XGBoost
28,0.3898304610378937,0.0062511080972837,k-means,LaBSE,Norm.,Train,0.38357935294061,0.3960815691351774,LaBSE Norm. k-means
29,0.2461811665037471,0.0194693045949327,k-means,LaBSE,Norm.,Test,0.2267118619088144,0.2656504710986798,LaBSE Norm. k-means
30,0.5775827123893152,0.0022250260483705,Naïve Bayes,LaBSE,Norm.,Train,0.5753576863409448,0.5798077384376857,LaBSE Norm. Naïve Bayes
31,0.2498101987618116,0.0163988784210155,Naïve Bayes,LaBSE,Norm.,Test,0.2334113203407961,0.2662090771828271,LaBSE Norm. Naïve Bayes
32,0.3769179295454349,0.0068813123994287,KNN,LaBSE,Norm.,Train,0.3700366171460062,0.3837992419448636,LaBSE Norm. KNN
33,0.2756402737047898,0.0229522386708098,KNN,LaBSE,Norm.,Test,0.25268803503397996,0.2985925123755996,LaBSE Norm. KNN
34,0.2502016382439433,0.0044696069720684,Decision Tree,LaBSE,Norm.,Train,0.2457320312718749,0.2546712452160117,LaBSE Norm. Decision Tree
35,0.1569949494949495,0.0180905801707224,Decision Tree,LaBSE,Norm.,Test,0.1389043693242271,0.1750855296656719,LaBSE Norm. Decision Tree
36,0.1793799770297783,0.0063776345112694,SVM,LaBSE,Norm.,Train,0.17300234251850888,0.1857576115410477,LaBSE Norm. SVM
37,0.1452826653633105,0.0103445819324013,SVM,LaBSE,Norm.,Test,0.13493808343090918,0.1556272472957118,LaBSE Norm. SVM
38,0.1438453738343612,0.009445569189887,Random Forest,LaBSE,Norm.,Train,0.13439980464447418,0.1532909430242482,LaBSE Norm. Random Forest
39,0.0791667944380274,0.0091851489236961,Random Forest,LaBSE,Norm.,Test,0.06998164551433131,0.0883519433617235,LaBSE Norm. Random Forest
40,0.143706731444477,0.0186849732639553,XGBoost,LaBSE,Norm.,Train,0.1250217581805217,0.16239170470843228,LaBSE Norm. XGBoost
41,0.0778766444174137,0.0075383843348546,XGBoost,LaBSE,Norm.,Test,0.0703382600825591,0.0854150287522683,LaBSE Norm. XGBoost
42,0.4096058678382802,0.0131954276292336,k-means,word2vec,Norm.,Train,0.3964104402090466,0.42280129546751377,AC-PLT
43,0.2820861844248941,0.0136763828228013,k-means,word2vec,Norm.,Test,0.26840980160209277,0.2957625672476954,AC-PLT
44,0.6573861170097188,0.0089873903836806,Naïve Bayes,word2vec,Norm.,Train,0.6483987266260383,0.6663735073933994,word2vec Norm. Naïve Bayes
45,0.2501971326164874,0.0181123073970397,Naïve Bayes,word2vec,Norm.,Test,0.2320848252194477,0.2683094400135271,word2vec Norm. Naïve Bayes
46,0.367031472867507,0.0138499813521831,KNN,word2vec,Norm.,Train,0.35318149151532385,0.3808814542196901,word2vec Norm. KNN
47,0.2828991528185077,0.0207360029338394,KNN,word2vec,Norm.,Test,0.26216314988466827,0.3036351557523471,word2vec Norm. KNN
48,0.3440280731322192,0.0068950811859321,Decision Tree,word2vec,Norm.,Train,0.3371329919462871,0.35092315431815135,word2vec Norm. Decision Tree
49,0.1800016291951775,0.0218307109615741,Decision Tree,word2vec,Norm.,Test,0.1581709182336034,0.2018323401567516,word2vec Norm. Decision Tree
50,0.173526692323702,0.0029898374914792,SVM,word2vec,Norm.,Train,0.17053685483222278,0.1765165298151812,word2vec Norm. SVM
51,0.1416625936787227,0.0175122480646983,SVM,word2vec,Norm.,Test,0.1241503456140244,0.159174841743421,word2vec Norm. SVM
52,0.1473517601092965,0.0098241415016365,Random Forest,word2vec,Norm.,Train,0.13752761860766,0.15717590161093298,word2vec Norm. Random Forest
53,0.0824881683719884,0.0035447453124976,Random Forest,word2vec,Norm.,Test,0.0789434230594908,0.086032913684486,word2vec Norm. Random Forest
54,0.1940365364726311,0.0446145248117164,XGBoost,word2vec,Norm.,Train,0.1494220116609147,0.23865106128434752,word2vec Norm. XGBoost
55,0.0915342103559539,0.0210395469193416,XGBoost,word2vec,Norm.,Test,0.0704946634366123,0.11257375727529549,word2vec Norm. XGBoost
