model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.597390491296981,0.0019102077438310772,0.6572150659155549,0.0030573454691180868,0.6825022307987554,0.002984647910006073,Train
AC_PLT,0.5445960767672864,0.009881034601113756,0.6208261686223533,0.007907201400471537,0.6506404136093211,0.009237371558723369,Test
GaussianNB,0.5106625514007359,0.003750278206356666,0.6981782163598006,0.0016996950784705946,0.7654406259125074,0.001549419390598781,Train
GaussianNB,0.4452361899487884,0.006999502612177409,0.6278874142315514,0.006282633259041035,0.6945771547397316,0.005369287078862059,Test
KNeighborsClassifier,0.6675244936658833,0.0014440439754963078,0.8919705725818272,0.0008522023579148857,0.9545411876630319,0.001032999751892104,Train
KNeighborsClassifier,0.6095281914077841,0.00641394890312176,0.772219754774069,0.00876763109345588,0.8067728053526191,0.009377713321543068,Test
DecisionTreeClassifier,0.45396062352192523,0.0030990596823285924,0.5232002159526334,0.003766723490927511,0.5571256579156618,0.004271969222061204,Train
DecisionTreeClassifier,0.40246066636466277,0.010055955617246964,0.44664841247537845,0.011132549660175222,0.4672673400780856,0.011732991354954155,Test
SVC,0.6063582065740237,0.005905484558067088,0.7624591697855314,0.0056956372474534465,0.8063017641846166,0.0066427550519385405,Train
SVC,0.5256405293479072,0.007701690236565924,0.6722322003658521,0.009112457542091104,0.720060447062205,0.010657707747182278,Test
RandomForestClassifier,0.3889586246872804,0.006737451038906708,0.431033522176876,0.007679509708657914,0.4464528770236626,0.008609325206458579,Train
RandomForestClassifier,0.3156168262699941,0.004873350615016861,0.3458653065736682,0.004972698539088636,0.3600599819229579,0.0046143740027626765,Test
XGBClassifier,0.23005077741750218,0.06041062440306687,0.2382178506345603,0.060557666237292994,0.2421870494530976,0.060561501346774856,Train
XGBClassifier,0.1767987185929462,0.0425905446682232,0.193767360859394,0.045507245970335675,0.20020069008688152,0.04602115201282809,Test
