model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.5333129827731482,0.004665103589215212,0.5883958491521134,0.005834856054126556,0.6049511451995808,0.0052766820914281936,Train
AC_PLT,0.4281150913289771,0.016616932477206407,0.5066875453773549,0.010602091382078427,0.5358500588623769,0.01228340339494073,Test
GaussianNB,0.7798704125537838,0.002838286906081158,0.9041109669399511,0.0031432555036946678,0.937525548731454,0.002064197773877174,Train
GaussianNB,0.4649672462662385,0.010025075424744581,0.6371003203589989,0.007410876937960696,0.6925862118471301,0.007310545195923227,Test
KNeighborsClassifier,0.5948255240621666,0.0035095053402677905,0.8028556141851606,0.003262024622460058,0.8924667685476197,0.0037574901699440806,Train
KNeighborsClassifier,0.522685806168449,0.01114486541395231,0.6450007998720204,0.005995841867397407,0.6911726944201748,0.004863267596544742,Test
DecisionTreeClassifier,0.3421429729374713,0.003799647504230013,0.4138319092426529,0.003895697311227461,0.4486133874135373,0.005616774043916784,Train
DecisionTreeClassifier,0.2063628793751974,0.010472956916609615,0.23005713957561663,0.011936737078068822,0.24160031830804507,0.012481692314608151,Test
SVC,0.3070077435931938,0.009897566056405991,0.4001120434179458,0.01404079325278089,0.43610818603846485,0.012935144393697678,Train
SVC,0.2853344490522542,0.009944094543544118,0.3948966114139686,0.012972903421069286,0.43519867590416295,0.014641077521527383,Test
RandomForestClassifier,0.23528463342871975,0.020382753523762818,0.2798986053053648,0.008521123136963144,0.28712374936083773,0.008087511327456018,Train
RandomForestClassifier,0.12676144192904898,0.008455509490139852,0.14837719846017222,0.0074138764604900044,0.15789216927617195,0.009568875839962198,Test
XGBClassifier,0.22333029468426197,0.026194479008717027,0.2315832957545824,0.02652906348019447,0.2361356104438951,0.0274420222066256,Train
XGBClassifier,0.12700087562351087,0.017176576170908463,0.15155524949749974,0.019854224226093817,0.1631857929567853,0.019257848020510886,Test
