model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.4442085035353972,0.004707075699419864,0.5009114692963486,0.0033350136914170876,0.5229346071656271,0.005073838793436631,Train
AC_PLT,0.3173365082099685,0.010506281902149535,0.3971276390649291,0.013631729874463304,0.4313521118672295,0.01234000574575198,Test
GaussianNB,0.6047491389777945,0.009045407666675383,0.8029571619426583,0.007851705318872335,0.8688745230337457,0.005024734448034412,Train
GaussianNB,0.2677200365890176,0.016742924553136033,0.4659773410613276,0.012765106907228083,0.5423228693665424,0.012033499880229366,Test
KNeighborsClassifier,0.48754552124281947,0.004537487951909421,0.7342040118028123,0.0031023448887901066,0.8523187400081376,0.004884672489245917,Train
KNeighborsClassifier,0.3827481961860461,0.007015288556870601,0.5469797652888359,0.009207701271095804,0.6042889547928743,0.011485369300586025,Test
DecisionTreeClassifier,0.28361724799682186,0.005484243370385015,0.3446744647245209,0.006877061710623148,0.37778505681945607,0.008140084772095765,Train
DecisionTreeClassifier,0.18833930160917844,0.014442301729162763,0.21183010718285072,0.014785830915765349,0.22964961503595321,0.01752396631444991,Test
SVC,0.33399192000743283,0.008548827752953651,0.4547392392248077,0.0076817499032090465,0.49149470891842795,0.005896471135356222,Train
SVC,0.2926301022605614,0.005166499301379706,0.4258844738687964,0.008517282591993991,0.47448736407303027,0.009609660381018032,Test
RandomForestClassifier,0.160097327347475,0.003388035620672698,0.20350660965479522,0.004070400885147616,0.21968958334276847,0.0056512324369385,Train
RandomForestClassifier,0.10538070302424767,0.007871213794840605,0.13404498731415426,0.004975009998176756,0.14426583902189613,0.00626457306894713,Test
XGBClassifier,0.37576147920315356,0.056922074518701765,0.38959455277404503,0.05872780260548022,0.3944405187140023,0.05856205868247935,Train
XGBClassifier,0.1844470910186144,0.016681964858341718,0.2329683637018519,0.024615591471885103,0.2483585681727069,0.02631084692007308,Test
