model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
k-Means,0.49473488205197214,0.0035080086073245413,0.5462232730697885,0.004074981039458645,0.5639429466662822,0.003979161046999696,Train
k-Means,0.3809248981701389,0.00941552726652473,0.45990651752129913,0.013132761774990514,0.4813718010246566,0.0150441640163613,Test
GaussianNB,0.34259884855300216,0.008375656820835251,0.5404010008682307,0.0028025503436440984,0.618064902652429,0.008056170870722546,Train
GaussianNB,0.27966950928877016,0.01012038336474275,0.3942913749184746,0.009684038100203279,0.4406644680440873,0.010670203186657854,Test
KNeighborsClassifier,0.5198965940364401,0.0027737064812606367,0.730457278881488,0.0037466997306463425,0.8365730835648082,0.0036332373302291553,Train
KNeighborsClassifier,0.4329748265918479,0.014423247746941145,0.5546819175598572,0.011716030184681177,0.5982210025883038,0.0095022515396943,Test
DecisionTreeClassifier,0.2778963441397627,0.004969860706922429,0.343257050770675,0.006968917120559795,0.3744943532962333,0.007659620800989483,Train
DecisionTreeClassifier,0.2124349334875651,0.007499222172450329,0.24625475308566017,0.008270067013217655,0.2622538342583135,0.007616275075447567,Test
SVC,0.2234709110656171,0.007310961837467361,0.3358139615351345,0.0139661185724038,0.39373289889757124,0.016507675212746736,Train
SVC,0.18529896754980743,0.010695466618338109,0.28999524178695507,0.009070498279913599,0.3513571161947422,0.012638388656821918,Test
RandomForestClassifier,0.2603969049342787,0.007610286302483809,0.3041584419343061,0.009723608115251234,0.3131751424272401,0.00904688560432374,Train
RandomForestClassifier,0.14872834487836145,0.01124480894420786,0.17774556961413918,0.014500838748860857,0.1880833091254598,0.017338429288990133,Test
XGBClassifier,0.031543653137669346,0.0015233341765900758,0.07401285204065018,0.005001389693958652,0.10875801203770859,0.004229063066331189,Train
XGBClassifier,0.028195491056427,0.0014859132383486231,0.06673058465292118,0.005197948248817023,0.09422074682612352,0.0036342663709998217,Test
