model,type,mean,std,E-type
E5,Norm.,0.4192901010760995,0.007268789980424286,Train
Word2Vec,Norm.,0.40708295995273647,0.008470164380875366,Train
LaBSE,Norm.,0.3932609318460191,0.00404059729426194,Train
BERT,Norm.,0.3371678439286916,0.010166065553036419,Train
CANINE,Norm.,0.2831931661300672,0.005773191267200686,Train
E5,Lemm.,0.41858486336687273,0.007976356950108994,Train
Word2Vec,Lemm.,0.40678059163841185,0.007589907901640246,Train
LaBSE,Lemm.,0.38973072325666247,0.005033272403128074,Train
BERT,Lemm.,0.1703046594982079,0.013849129161194925,Train
CANINE,Lemm.,0.2845042090870279,0.004647290589101782,Train
E5,Norm.,0.2873435972629521,0.027231235004070726,Test
Word2Vec,Norm.,0.290163734115347,0.025474256855801843,Test
LaBSE,Norm.,0.2465811339198436,0.0255839512725344,Test
BERT,Norm.,0.1775733137829912,0.016310772039273495,Test
CANINE,Norm.,0.1238986640599544,0.011480471981337793,Test
E5,Lemm.,0.2837039752362333,0.013207967296711956,Test
Word2Vec,Lemm.,0.28370153144346694,0.0211479902343046,Test
LaBSE,Lemm.,0.24415689149560116,0.019764969521984917,Test
BERT,Lemm.,0.33504994267621907,0.008532180318206494,Test
CANINE,Lemm.,0.12955197132616486,0.014853400802393972,Test
