model,type,mean,std,E-type
E5,Norm.,0.5333129827731482,0.004665103589215212,Train
Word2Vec,Norm.,0.49473488205197214,0.0035080086073245413,Train
LaBSE,Norm.,0.4462333842738099,0.0035747262956018055,Train
BETO,Norm.,0.3681149781020027,0.006764295077733776,Train
CANINE,Norm.,0.29905855591758534,0.003319502221187739,Train
E5,Lemm.,0.5125559752538213,0.004710662039364377,Train
Word2Vec,Lemm.,0.49584843446139254,0.00315689029714227,Train
LaBSE,Lemm.,0.4442085035353972,0.004707075699419864,Train
BETO,Lemm.,0.36750735753486535,0.003067117011266327,Train
CANINE,Lemm.,0.30052670530453757,0.002910185193066323,Train
E5,Norm.,0.4281150913289771,0.016616932477206407,Test
Word2Vec,Norm.,0.3809248981701389,0.00941552726652473,Test
LaBSE,Norm.,0.32381649705277926,0.009063131109465158,Test
BETO,Norm.,0.2211471805536755,0.010907637386673774,Test
CANINE,Norm.,0.1593806529416832,0.011239072250831804,Test
E5,Lemm.,0.4017837146056631,0.00702818679493623,Test
Word2Vec,Lemm.,0.3959097826399058,0.010087902422679568,Test
LaBSE,Lemm.,0.3173365082099685,0.010506281902149535,Test
BETO,Lemm.,0.2290441734450693,0.014594253007515625,Test
CANINE,Lemm.,0.16464442612258962,0.008755458800458887,Test
