model,param_value,mean,std,E-type
SVM,kernel=Linear C=1,0.4511705195473329,0.004331987751911817,Train
SVM,kernel=Linear C=1,0.30953567937438903,0.014276085573788042,Test
KNN,n_neighbors=10,0.3814582884894967,0.007625388392714996,Train
KNN,n_neighbors=10,0.28209758879113717,0.021413885332479614,Test
K-Means,n_clusters=300,0.3932609318460191,0.00404059729426194,Train
K-Means,n_clusters=300,0.2465811339198436,0.0255839512725344,Test
Desision trees,max_leaf_nodes=100,0.2503025464175054,0.004360056052069937,Train
Desision trees,max_leaf_nodes=100,0.15860703812316718,0.016868658349092937,Test
Naive Bayes,var_smoothing=100.0,0.5775827123893152,0.002225026048370597,Train
Naive Bayes,var_smoothing=100.0,0.24940615835777127,0.01635182635733677,Test
Random Forest,max_depth=5,0.1438453738343612,0.00944556918988708,Train
Random Forest,max_depth=5,0.07916679443802747,0.009185148923696153,Test
XGBoost,max_depth=5 n_estimators=5,0.14439878360721323,0.018858821419494434,Train
XGBoost,max_depth=5 n_estimators=5,0.07676861117641648,0.005127840393894122,Test
