model,param_value,mean,std,E-type
SVC,kernel=Linear C=1,0.4699367428388527,0.007319708520018564,Train
SVC,kernel=Linear C=1,0.3135703812316716,0.019653553014758678,Test
KNN,n_neighbors=10,0.3663239452602418,0.0037125304094186924,Train
KNN,n_neighbors=10,0.2857241772564353,0.021172400701284677,Test
k-Means,n_clusters=300,0.40708295995273647,0.008470164380875366,Train
k-Means,n_clusters=300,0.290163734115347,0.025474256855801843,Test
desision_trees,max_leaf_nodes=200,0.3440280731322192,0.006895081185932114,Train
desision_trees,max_leaf_nodes=200,0.17798305637015316,0.02301878943773159,Test
naive_bayes,var_smoothing=10,0.6573861170097188,0.008987390383680663,Train
naive_bayes,var_smoothing=10,0.2510043988269795,0.01897476342929065,Test
random_forest,max_depth=100,0.4198628578846342,0.06471817487887845,Train
random_forest,max_depth=100,0.1487335302715908,0.02164639891510094,Test
XGBoost,max_depth=5 n_estimators=9,0.196297311848551,0.043020285288232187,Train
XGBoost,max_depth=5 n_estimators=9,0.09337786591162311,0.01663702963437744,Test
