model,param_value,mean,std,E-type
SVC,kernel=Linear C=2.5,0.5754603346900187,0.0037683059417065587,Train
SVC,kernel=Linear C=2.5,0.4316344308282888,0.012746110489545881,Test
KNN,n_neighbors=10,0.5208323850050173,0.008237019934971323,Train
KNN,n_neighbors=10,0.43586077070721985,0.015915705415664252,Test
k-Means,n_clusters=350,0.5212171375443103,0.001986087955332336,Train
k-Means,n_clusters=350,0.399380628967961,0.017814299079067276,Test
desision_trees,max_leaf_nodes=200,0.4093697448405564,0.004317966790757589,Train
desision_trees,max_leaf_nodes=200,0.20391923815148383,0.004026960786214139,Test
naive_bayes,var_smoothing=1.0,0.7632488299855424,0.009943361774156008,Train
naive_bayes,var_smoothing=1.0,0.4297231655101137,0.010381055291985953,Test
random_forest,max_depth=20,0.5812582058355579,0.043511190285685265,Train
random_forest,max_depth=20,0.21303239493246423,0.015001308732542441,Test
XGBoost,max_depth=5 n_estimators=5,0.2982405975497252,0.03411740164772658,Train
XGBoost,max_depth=5 n_estimators=5, 0.14091952449793702,0.015297218576913624,Test
