model,param_value,mean,std,E-type
SVM,kernel=Linear C=1,0.5801640738525842,0.006775082348200679,Train
SVM,kernel=Linear C=1,0.4235730104827994,0.011136429978473182,Test
KNN,n_neighbors=10,0.45276408140849556,0.00552681630297418,Train
KNN,n_neighbors=10,0.35944485456961467,0.014379659995653271,Test
K-Means,n_clusters=350,0.47513391010124,0.006990766586558779,Train
K-Means,n_clusters=350,0.3195068654953492,0.01787742200804331,Test
Desision trees,max_leaf_nodes=100,0.2930105515538916,0.0029792214635505094,Train
Desision trees,max_leaf_nodes=100,0.1893245238446774,0.0066145780048930776,Test
Naive Bayes,var_smoothing=0.1,0.8311241353319027,0.009558276976417092,Train
Naive Bayes,var_smoothing=0.1,0.40553373689650085,0.005880073884539318,Test
Random Forest,max_depth=5,0.2552538472165895,0.012498027871623827,Train
Random Forest,max_depth=5,0.15142071781535943,0.0017231304210911227,Test
XGBoost,max_depth=5 n_estimators=5,0.2889868483797792,0.029632765119354205,Train
XGBoost,max_depth=5 n_estimators=5,0.1366184492291198,0.016411374903531093,Test
