model,param_value,mean,std,E-type
SVC,kernel=Linear C=1,0.6145343946010249,0.008093650055232075,Train
SVC,kernel=Linear C=1,0.43201830798759777,0.015955926289100492,Test
KNN,n_neighbors=10,0.4638041434038275,0.008733035534293767,Train
KNN,n_neighbors=10,0.3824870810571387,0.007831841843116657,Test
K-Means,n_clusters=350,0.5053763074260786,0.0018442800860675064,Train
K-Means,n_clusters=350,0.3878643141886904,0.009218906195869963,Test
Desision trees,max_leaf_nodes=200,0.40668200578119373,0.0035427027887768294,Train
Desision trees,max_leaf_nodes=200,0.23080171268271074,0.00894762400468008,Test
Naive Bayes,var_smoothing=1.0,0.3948740512493515,0.005591029758355257,Train
Naive Bayes,var_smoothing=1.0,0.17166322161523698,0.008552489124296863,Test
Random Forest,max_depth=5,0.15530115917872567,0.008314980282639857,Train
Random Forest,max_depth=5,0.10317448097107809,0.006222953988648153,Test
XGBoost,max_depth=5 n_estimators=6,0.29059884215827403,0.026397535745384337,Train
XGBoost,max_depth=5 n_estimators=6,0.1535729662991192,0.01083812403919395,Test
