model,param_value,mean,std,E-type
SVC,kernel=Linear C=1,0.7657780217399566,0.003855377257825401,Train
SVC,kernel=Linear C=1,0.6700039370819436,0.007555068235401887,Test
KNN,n_neighbors=10,0.6601023151499434,0.0020483154179658986,Train
KNN,n_neighbors=10,0.603220290717598,0.007498801161800515,Test
k-Means,n_clusters=1750,0.5934754286321895,0.004935569283080325,Train
k-Means,n_clusters=1750,0.542305152120395,0.009547155239371937,Test
desision_trees,max_leaf_nodes=1000,0.45472949834218757,0.0023190440984849087,Train
desision_trees,max_leaf_nodes=1000,0.40676032528551237,0.010101343871788774,Test
naive_bayes,var_smoothing=50,0.5945973661625854,0.0011551321812070523,Train
naive_bayes,var_smoothing=50,0.5340197714995258,0.004314285318459565,Test
random_forest,max_depth=10,0.37968488587541754,0.010816141147806267,Train
random_forest,max_depth=10,0.3129610232447041,0.014464301386899938,Test
XGBoost,max_depth=50 n_estimators=15,0.32487520431687544,0.06526721389682394,Train
XGBoost,max_depth=50 n_estimators=15,0.24901388947123976,0.04905495279033767,Test
