model,param_value,mean,std,E-type
SVC,kernel=Linear C=1,0.6239365518743852,0.004596748897290694,Train
SVC,kernel=Linear C=1,0.4823849722505937,0.010074985000582074,Test
KNN,n_neighbors=10,0.4955446369930382,0.0035583055744637998,Train
KNN,n_neighbors=10,0.4048256894281531,0.01571176423716659,Test
k-Means,n_clusters=550,0.4462333842738099,0.0035747262956018055,Train
k-Means,n_clusters=550,0.32381649705277926,0.009063131109465158,Test
desision_trees,max_leaf_nodes=300,0.35555927196768,0.0045622057429605305,Train
desision_trees,max_leaf_nodes=300,0.22155162866249092,0.010817274825062896,Test
naive_bayes,var_smoothing=5,0.6188236145952475,0.007044822404780273,Train
naive_bayes,var_smoothing=5,0.2835140223718051,0.007814199720368377,Test
random_forest,max_depth=10,0.3008980599012839,0.011772444597574925,Train
random_forest,max_depth=10,0.15718815141317627,0.008582517524607257,Test
XGBoost,max_depth= 5 n_estimators=6,0.20523832044872803,0.021025430872273834,Train
XGBoost,max_depth= 5 n_estimators=6,0.12194799665758844,0.010657732197577697,Test
