ID;Concepto;respuesta;Code
5b2812458ecf3f000161aca7;america;hypocrisy;hypocrisy
5b2812458ecf3f000161aca7;america;propaganda versus science;misinformation
5b2812458ecf3f000161aca7;america;the electoral college;Electoral College
5b2812458ecf3f000161aca7;america;not true democracy in that someone with the most votes can still lose a presidential election;undemocratic
5b2812458ecf3f000161aca7;america;deeply threatened;threatened
5b2812458ecf3f000161aca7;america;lies;falsehood
5b44d567eb64c200015baca0;america;polarized;polarization
5b44d567eb64c200015baca0;america;essentially a two party system;two-party system
5b44d567eb64c200015baca0;america;feels undemocratic with an electoral college;undemocratic
5b44d567eb64c200015baca0;america;many are doubtful if it will remain a democracy;straying
5b44d567eb64c200015baca0;america;not many people are engaged with local democracy;low engagement
5b44d567eb64c200015baca0;america;"many different beliefs of what it means to ""be a democracy.""";subjective
5dd405ab80123f3eaae9af80;america;America is a Democratic republic. .;democratic republic
5dd405ab80123f3eaae9af80;america;American Democracy is under threat from right wing facists.;threatened
5dd405ab80123f3eaae9af80;america;America was founded on the principles of democracy.;democratic foundation
5dd405ab80123f3eaae9af80;america;American democracy ensures various rights for it's people.;rights
5dd405ab80123f3eaae9af80;america;America tries to export democracy to other countries.;export democracy
5dd405ab80123f3eaae9af80;america;America is one of quite a few democratic countries int he world.;global democracy
5ddcd77f23f9f1c2c45d6c18;america;tries to be a shining example;shining example
5ddcd77f23f9f1c2c45d6c18;america;most believe in it too many don't;lack of belief
5ddcd77f23f9f1c2c45d6c18;america;one of the oldest forms;old democracy
5ddcd77f23f9f1c2c45d6c18;america;too much of a republic and not enough of a true democracy;not true democracy
5ddcd77f23f9f1c2c45d6c18;america;always manages to bounce back after an attack on democracy;resilience
5ddcd77f23f9f1c2c45d6c18;america;too much influence by money;influence of money
611e99910d64a6ea6d18b0a6;america;liberty;liberty
611e99910d64a6ea6d18b0a6;america;freedom;freedom
611e99910d64a6ea6d18b0a6;america;superpower;superpower
611e99910d64a6ea6d18b0a6;america;world leader;world leader
611e99910d64a6ea6d18b0a6;america;liberating;liberation
611e99910d64a6ea6d18b0a6;america;greatness;greatness
62aa325191aac4ab446f13e6;america;progressive;progressive
62aa325191aac4ab446f13e6;america;fair and equal;equality
62aa325191aac4ab446f13e6;america;caring of all citizens;care
62aa325191aac4ab446f13e6;america;equal righrs for all;equal rights
62aa325191aac4ab446f13e6;america;voices heard;representation
62aa325191aac4ab446f13e6;america;your vote matters;vote impact
63614f71fa75fcbcee84f2ac;america;we're all broke;economic struggle
63614f71fa75fcbcee84f2ac;america;the government has taken most of our money;economic discontent
63614f71fa75fcbcee84f2ac;america;there's going to be a shortage of food within 6 months if kamala takes the presidency;food shortage fear
63614f71fa75fcbcee84f2ac;america;we celebrate the 4th of july;patriotism
63614f71fa75fcbcee84f2ac;america;we like to be welcoming to LEGAL citizens;immigration
63614f71fa75fcbcee84f2ac;america;most of us get along with one another;social harmony
63e5257dc5aceb22cee2ddf1;america;World leader;world leader
63e5257dc5aceb22cee2ddf1;america;A country that embraces people from all walks of life.;diversity
63e5257dc5aceb22cee2ddf1;america;Land of the free;freedom
63e5257dc5aceb22cee2ddf1;america;A place of hope and opportunity.;opportunity
63e5257dc5aceb22cee2ddf1;america;A melting pot of cultures;diversity
63e5257dc5aceb22cee2ddf1;america;A county that gives people the right to express opinions freely.;free speech
6501fa22f5070cd868ef3555;america;Not a true democracy;not true democracy
6501fa22f5070cd868ef3555;america;Republic;democratic republic
6501fa22f5070cd868ef3555;america;Politicians are elected based on values;value-based election
6501fa22f5070cd868ef3555;america;Politicians may be elected based on character;character-based election
6501fa22f5070cd868ef3555;america;Fairness;fairness
6501fa22f5070cd868ef3555;america;Equal representation;equal representation
656083eb366411e4a862f58c;america;founded on democracy;democratic foundation
656083eb366411e4a862f58c;america;some do not want a democracy;straying
656083eb366411e4a862f58c;america;needs more voters rights;voters' rights
656083eb366411e4a862f58c;america;should be easier to vote;voting access
656083eb366411e4a862f58c;america;tries to be democratic;tries to be
656083eb366411e4a862f58c;america;better than an oligarchy or monarchy;comparative advantage
65cb7daf7a0c6cb131efe491;america;freedom of speech;free speech
65cb7daf7a0c6cb131efe491;america;where I live;homeland
65cb7daf7a0c6cb131efe491;america;open to everyone;inclusivity
65cb7daf7a0c6cb131efe491;america;red white and blue;national identity
65cb7daf7a0c6cb131efe491;america;goverment;government
65cb7daf7a0c6cb131efe491;america;elections;elections
65e36bdfc024b2bf0a9b706e;america;an experiment;experiment
65e36bdfc024b2bf0a9b706e;america;imperfect;imperfect
65e36bdfc024b2bf0a9b706e;america;declining;declining
65e36bdfc024b2bf0a9b706e;america;overrun by corporate interests;corporate interests
65e36bdfc024b2bf0a9b706e;america;a concept that needs continual upkeep;democratic maintenance
65e36bdfc024b2bf0a9b706e;america;an example;example
662e50cf3365a5b0f91e89e5;america;Fair chances;fairness
662e50cf3365a5b0f91e89e5;america;Multiple view points;pluralism
662e50cf3365a5b0f91e89e5;america;Multiple parties;pluralism
