ID;Concepto;respuesta;Code
5c3a865019ceb400010c914a;air;high;height
5c3a865019ceb400010c914a;air;clear;transparency
5c3a865019ceb400010c914a;air;big;size
5c3a865019ceb400010c914a;air;light;weightless
5c3a865019ceb400010c914a;air;blue;blue
5c3a865019ceb400010c914a;air;sky;sky
5cb489ff0cd1ed0017465d19;air;invisible;transparency
5cb489ff0cd1ed0017465d19;air;everywhere;ubiquity
5cb489ff0cd1ed0017465d19;air;ability to help sustain life;vital
5cb489ff0cd1ed0017465d19;air;necessary;essential
5cb489ff0cd1ed0017465d19;air;benifical;positive
5cb489ff0cd1ed0017465d19;air;can smell nice;pleasant
5dd405ab80123f3eaae9af80;air;Air moves constantly.;movement
5dd405ab80123f3eaae9af80;air;Air is necessary to survival of most species on earth.;vital
5dd405ab80123f3eaae9af80;air;Air is ubiquitous.;ubiquity
5dd405ab80123f3eaae9af80;air;Air disperses pollen.;pollination
5dd405ab80123f3eaae9af80;air;Air currents are part of our weather.;weather
5dd405ab80123f3eaae9af80;air;Air movement can be gentle or violent.;movement
63e5257dc5aceb22cee2ddf1;air;Fresh;clean
63e5257dc5aceb22cee2ddf1;air;A person going outside to get some fresh air.;clean
63e5257dc5aceb22cee2ddf1;air;A person taking a deep breath to fill their lungs with natural air.;vital
63e5257dc5aceb22cee2ddf1;air;Vital;vital
63e5257dc5aceb22cee2ddf1;air;Quality;quality
63e5257dc5aceb22cee2ddf1;air;Healthy;clean
64de1dc625bd889292e88fb2;air;oxygen;oxygen
64de1dc625bd889292e88fb2;air;required for most animals to live;vital
64de1dc625bd889292e88fb2;air;a necessity;essential
64de1dc625bd889292e88fb2;air;potentially dangerous;hazard
64de1dc625bd889292e88fb2;air;can make wind;wind
64de1dc625bd889292e88fb2;air;not visible to human eyes;transparency
65e36bdfc024b2bf0a9b706e;air;vulnerable to human pollution;pollution
65e36bdfc024b2bf0a9b706e;air;provides oxygen;oxygen
65e36bdfc024b2bf0a9b706e;air;ruined by wildfire smoke;pollution
65e36bdfc024b2bf0a9b706e;air;supports bird migration;migration
65e36bdfc024b2bf0a9b706e;air;insect domain;insects
65e36bdfc024b2bf0a9b706e;air;subject to weather;weather
660c0b7feec9d15f01e4fec4;air;gasp;breathing
660c0b7feec9d15f01e4fec4;air;free;accessibility
660c0b7feec9d15f01e4fec4;air;fresh;clean
660c0b7feec9d15f01e4fec4;air;open;accessibility
660c0b7feec9d15f01e4fec4;air;accessible;accessibility
660c0b7feec9d15f01e4fec4;air;clear;clean
663bb0d5572a24c8014255e0;air;air quality changes;air quality
663bb0d5572a24c8014255e0;air;plants, animals, and humans rely on air;animals
663bb0d5572a24c8014255e0;air;air provides oxygen;oxygen
663bb0d5572a24c8014255e0;air;air carries water vapor which plays a part in precipitation;weather
663bb0d5572a24c8014255e0;air;air creates wind;wind
663bb0d5572a24c8014255e0;air;air can carry pollen;pollination
664252d4a599b06b914bfcd8;air;mostly made of nitogen;nitrogen
664252d4a599b06b914bfcd8;air;is a gas;gas
664252d4a599b06b914bfcd8;air;we breath is;oxygen
664252d4a599b06b914bfcd8;air;is about 14psi at sea level;pressure
