Concepto,Respuesta,Codigo
granito,tierra,terrestre
granito,rugoso,texturas
granito,construcción,material_construccion
granito,desagradable al tacto,texturas
granito,raspa,lastimar
granito,suciedad,suciedad
granito,duro,solido
granito,fino,detallista
granito,arido,sequia
granito,seco,sequia
cáscara,proteger,proteccion
cáscara,decorar,decorativo
cáscara,nutrir,nutritivo
cáscara,caracterizar,caracteristica
cáscara,fragil,fragil
cáscara,pedazo,fragmentado
cáscara,rico,comida_sabrosa
cáscara,proteger a el comida,proteccion
cáscara,dar forma,contorno
cáscara,contener todo el nutrient,nutritivo
caracol,lento,lentitud
caracol,asco,desagrado
caracol,baboso,baboso
caracol,flojo,holgazanear
caracol,sorpresivo,sorpresa
caracol,escondido,oculto
caracol,raro,excentrico
caracol,autoprotección,proteccion
caracol,miedoso,temor
caracol,imperceptible,invisible
hoguera,calienta,caliente
hoguera,grande,tamanos
hoguera,dar comida,comida
hoguera,a base de calor,caliente
hoguera,peligroso,riesgoso
hoguera,yo recordar a hansel y gretel,personajes_literarios
hoguera,miedo,miedo
hoguera,imponente,relevancia
hoguera,multiuso,multiuso
hoguera,difícil de prender,inaccesible
espiral,círculo,circunferencia
espiral,perfecto,perfeccionismo
espiral,desigual,desigualdad
espiral,fino,sutileza
espiral,remolino,remolino
espiral,tranqulidad,tranquilidad
espiral,llamar el atención,notorio
espiral,él parecer a uno torbellino,remolino
espiral,pensar,inteligencia
espiral,reflexionar,reflexion
anciana,señora de mucho edad,vejez
anciana,cansado,cansancio
anciana,amoroso,amabilidad
anciana,comida rico,comida_sabrosa
anciana,sabio,conocimiento
anciana,experimentado,experiencia
anciana,tranquilo,tranquilidad
anciana,apañadorar,acompanar
anciana,madre,madre
anciana,preocupado,preocupacion
espanto,miedo,miedo
espanto,alejar,apartarse
espanto,pesadillar,pesadilla
espanto,sentimiento,sentimientos
espanto,sorpresa,sorpresa
espanto,asco,desagrado
espanto,pena,angustia
espanto,trauma ,trauma
espanto,rechazo,rechazo
espanto,evitar,evadir
encanto,amor,amor
encanto,llamar el atención,sobresaliente
encanto,perfección,perfeccionismo
encanto,mover el piso,refran_popular
encanto,característico,caracteristica
encanto,reconocible,reconocer
encanto,querer,amor
encanto,sentimiento,sentimientos
encanto,pareja,noviazgo
encanto,abrazo,afectividad
estatus,altura,estatura
estatus,mejor o peor,valoracion
estatus,representar a uno persona,representativo
estatus,dar lugar en el sociedad,privilegios
estatus,generar uno ranking,jerarquia
estatus,él basar en dinero,dinero
estatus,poder,poder
estatus,superioridad,jerarquia
estatus,inferioridad,jerarquia
estatus,afectar en el trabajo,consecuencia_laboral
levante,fuerza,fuerza
levante,aguante,resistencia
levante,subir,trepador
levante,capacidad,capacidad
levante,cambiar de lugar,movimiento
levante,soportar,resistencia
levante,ayudar,ayudar
levante,cambiar de lugar,movimiento
levante,comodidad,comodidad
levante,mecánico,mecanico
ajedrez,ser uno juego de mesa,juego_de_mesa
ajedrez,tener regla,instrucciones
ajedrez,él jugar de a dos,relacional
ajedrez,él jugar con uno tablero,tablero
ajedrez,él usar 16 pieza móvil,piezas_tablero
ajedrez,implicar estrategia,estrategia
ajedrez,él originar en el india,origen_indio
ajedrez,cada pieza tener uno movimiento específico,instrucciones
ajedrez,él jugar en silencio,tranquilidad
ajedrez,alguno él considerar uno deporte,deporte
cadáver,persona que fallecer,difunto
