Concepto,Respuesta,Codigo
granito,tierra,terrestre
granito,rugoso,texturas
granito,construcción,material_construccion
granito,desagradable tacto,texturas
granito,raspa,lastimar
granito,suciedad,suciedad
granito,duro,solido
granito,fino,detallista
granito,arido,sequia
granito,seco,sequia
cáscara,proteger,proteccion
cáscara,decorar,decorativo
cáscara,nutrir,nutritivo
cáscara,caracterizar,caracteristica
cáscara,fragil,fragil
cáscara,pedazo,fragmentado
cáscara,rico,comida_sabrosa
cáscara,proteger comida,proteccion
cáscara,forma,contorno
cáscara,contener nutrient,nutritivo
caracol,lento,lentitud
caracol,asco,desagrado
caracol,baboso,baboso
caracol,flojo,holgazanear
caracol,sorpresivo,sorpresa
caracol,escondido,oculto
caracol,raro,excentrico
caracol,autoprotección,proteccion
caracol,miedoso,temor
caracol,imperceptible,invisible
hoguera,calienta,caliente
hoguera,,tamanos
hoguera,comida,comida
hoguera,base calor,caliente
hoguera,peligroso,riesgoso
hoguera,recordar hansel gretel,personajes_literarios
hoguera,miedo,miedo
hoguera,imponente,relevancia
hoguera,multiuso,multiuso
hoguera,difícil prender,inaccesible
espiral,círculo,circunferencia
espiral,perfecto,perfeccionismo
espiral,desigual,desigualdad
espiral,fino,sutileza
espiral,remolino,remolino
espiral,tranqulidad,tranquilidad
espiral,llamar atención,notorio
espiral,torbellino,remolino
espiral,pensar,inteligencia
espiral,reflexionar,reflexion
anciana,señora edad,vejez
anciana,cansado,cansancio
anciana,amoroso,amabilidad
anciana,comida rico,comida_sabrosa
anciana,sabio,conocimiento
anciana,experimentado,experiencia
anciana,tranquilo,tranquilidad
anciana,apañadorar,acompanar
anciana,madre,madre
anciana,preocupado,preocupacion
espanto,miedo,miedo
espanto,alejar,apartarse
espanto,pesadillar,pesadilla
espanto,sentimiento,sentimientos
espanto,sorpresa,sorpresa
espanto,asco,desagrado
espanto,pena,angustia
espanto,trauma ,trauma
espanto,rechazo,rechazo
espanto,evitar,evadir
encanto,amor,amor
encanto,llamar atención,sobresaliente
encanto,perfección,perfeccionismo
encanto,mover piso,refran_popular
encanto,característico,caracteristica
encanto,reconocible,reconocer
encanto,querer,amor
encanto,sentimiento,sentimientos
encanto,pareja,noviazgo
encanto,abrazo,afectividad
estatus,altura,estatura
estatus,,valoracion
estatus,representar persona,representativo
estatus,lugar sociedad,privilegios
estatus,generar ranking,jerarquia
estatus,basar dinero,dinero
estatus,,poder
estatus,superioridad,jerarquia
estatus,inferioridad,jerarquia
estatus,afectar trabajo,consecuencia_laboral
levante,fuerza,fuerza
levante,aguante,resistencia
levante,subir,trepador
levante,capacidad,capacidad
levante,cambiar lugar,movimiento
levante,soportar,resistencia
levante,ayudar,ayudar
levante,cambiar lugar,movimiento
levante,comodidad,comodidad
levante,mecánico,mecanico
ajedrez,juego mesa,juego_de_mesa
ajedrez,regla,instrucciones
ajedrez,jugar,relacional
ajedrez,jugar tablero,tablero
ajedrez,16 pieza móvil,piezas_tablero
ajedrez,implicar estrategia,estrategia
ajedrez,originar india,origen_indio
ajedrez,pieza movimiento específico,instrucciones
ajedrez,jugar silencio,tranquilidad
ajedrez,considerar deporte,deporte
cadáver,persona fallecer,difunto
cadáver,cuerpo vida,difunto
cadáver,cuerpo descomposición,descomposicion
cadáver,enterrar cementerio,cementerio
cadáver,cuerpo frío,rigor_mortis
cadáver,quemar volver ceniza,cremacion
