Palabra (concepto),Descripción,Codificación
Compasión ,sentimiento,sentimiento
Compasión ,por él que él él perdonar el vida a alguien en el pelicula,perdón
plan,necesario para cumplir objetivo,objetivos
plan,organizar recurso o persona,organización
plan,estrategia,estrategia
Habilidad,capacidad,capacidad
Habilidad,por él que él diferenciar el persona,personal
Habilidad,él que permitir cumplir alguno meta,meta
Habilidad,poder ser blando o duro,blandas
Ganancia ,él que generar uno trabajo,trabajo
Ganancia ,utilidad,utilidad
Ganancia ,diferenciar entre el costo y el precio de venta,diferencia
Verdad,contrario a mentira,no mentir
Esperanza,confianza,confianza
Esperanza,fe que algo ir a pasar,fe
Éxito,conseguir meta,meta
Éxito,ganar,ganar
Éxito,superar objetivo,superación
Oportunidad,él que permitir innovar,innovación
Oportunidad,en él que él basar el éxito de uno negocio,éxito
Oportunidad,uno problema sin solcion ser uno,problemas
Felicidad,alegría,alegría
Felicidad,sentimiento,sentimiento
Felicidad,contrario a tristeza,no tristeza
Desesperación,sentimiento,sentimiento
Desesperación,cuando el cosa no resultar como uno querer,no resultados
Razón ,comprension,comprensión
Razón ,sentimiento,sentimiento
Razón ,logico,lógica
Razón ,analisis,análisis
Razón ,vida,vida
Razón ,inteligencia,inteligencia
Razón ,abstraccion,abstracción
Razón ,empatiar,empatía
Razón ,simpatiir,simpatía
Razón ,paciencia,paciencia
Desesperación,impaciencia,impaciencia
Desesperación,impulsivo,impulso
Desesperación,angustiar,angustia
Desesperación,descontento,descontento
Desesperación,depresion,depresión
Desesperación,ambigüedad,ambigüedad
Desesperación,apuro,apuro
Seguridad,contento,alegría
Seguridad,calido,calidez
Seguridad,comodidad,comodidad
Seguridad,estabilidad,estabilidad
Seguridad,equilibrio,equilibrio
Seguridad,control,control
Seguridad,vision,visión
Seguridad,sensorial,sensorial
Seguridad,de tener espacio,espacio
Seguridad,concreto,concreto
Definición,de concretar algo,concreto
Definición,fijo,invariable 
Definición,hecho,hechos
Definición,soler,sólido
Definición,incambiante,no cambio
Definición,constante,constante
Definición,invariable,invariable 
Destreza,presición,precisión
Destreza,habilidad,habilidades
Destreza,facilidad,facilidad
Destreza,maestrio,maestría
Destreza,optimo,óptimo
Destreza,impecabilidad,impecabilidad
Destreza,destacado,destacado
Destreza,habilitado,habilidades
Destreza,seguro,seguridad
Habilidad,destreza,destreza
Habilidad,facilidad,facilidad
Habilidad,general,general
Habilidad,de poder hacer cosa,poder
Habilidad,opcion,opción
Habilidad,libertad,libertad
Habilidad,independencia,independencia
Habilidad,seguridad,seguridad
Habilidad,estabilidad,estabilidad
Ansiedad,de sentir uno apuro por que uno hecho pase,apuro
Ansiedad,inestabilidad,inestabilidad
Ansiedad,desequilibrio interno,desequilibrio
Ansiedad,sensacion,sensación
Ansiedad,aprieto,aprieto
Ansiedad,angustiar,angustia
Ansiedad,depresion,drepesión
Ansiedad,tension,tensión
Ansiedad,estrés,estrés
Ansiedad,apuro,apuro
