Palabra (concepto),Descripción,Codificación
Compasión ,sentimiento,sentimiento
Compasión ,perdonar vida alguien pelicula,perdón
plan,necesario cumplir objetivo,objetivos
plan,organizar recurso persona,organización
plan,estrategia,estrategia
Habilidad,capacidad,capacidad
Habilidad,diferenciar persona,personal
Habilidad,permitir cumplir meta,meta
Habilidad,blando duro,blandas
Ganancia ,generar trabajo,trabajo
Ganancia ,utilidad,utilidad
Ganancia ,diferenciar costo precio venta,diferencia
Verdad,contrario mentira,no mentir
Esperanza,confianza,confianza
Esperanza,fe pasar,fe
Éxito,meta,meta
Éxito,ganar,ganar
Éxito,superar objetivo,superación
Oportunidad,permitir innovar,innovación
Oportunidad,basar éxito negocio,éxito
Oportunidad,problema solcion,problemas
Felicidad,alegría,alegría
Felicidad,sentimiento,sentimiento
Felicidad,contrario tristeza,no tristeza
Desesperación,sentimiento,sentimiento
Desesperación,cosa resultar,no resultados
Razón ,comprension,comprensión
Razón ,sentimiento,sentimiento
Razón ,logico,lógica
Razón ,analisis,análisis
Razón ,vida,vida
Razón ,inteligencia,inteligencia
Razón ,abstraccion,abstracción
Razón ,empatiar,empatía
Razón ,simpatiir,simpatía
Razón ,paciencia,paciencia
Desesperación,impaciencia,impaciencia
Desesperación,impulsivo,impulso
Desesperación,angustiar,angustia
Desesperación,descontento,descontento
Desesperación,depresion,depresión
Desesperación,ambigüedad,ambigüedad
Desesperación,apuro,apuro
Seguridad,contento,alegría
Seguridad,calido,calidez
Seguridad,comodidad,comodidad
Seguridad,estabilidad,estabilidad
Seguridad,equilibrio,equilibrio
Seguridad,control,control
Seguridad,vision,visión
Seguridad,sensorial,sensorial
Seguridad,espacio,espacio
Seguridad,concreto,concreto
Definición,concretar,concreto
Definición,fijo,invariable 
Definición,,hechos
Definición,soler,sólido
Definición,incambiante,no cambio
Definición,constante,constante
Definición,invariable,invariable 
Destreza,presición,precisión
Destreza,habilidad,habilidades
Destreza,facilidad,facilidad
Destreza,maestrio,maestría
Destreza,optimo,óptimo
Destreza,impecabilidad,impecabilidad
Destreza,destacado,destacado
Destreza,habilitado,habilidades
Destreza,seguro,seguridad
Habilidad,destreza,destreza
Habilidad,facilidad,facilidad
Habilidad,general,general
Habilidad,cosa,poder
Habilidad,opcion,opción
Habilidad,libertad,libertad
Habilidad,independencia,independencia
Habilidad,seguridad,seguridad
Habilidad,estabilidad,estabilidad
Ansiedad,sentir apuro pase,apuro
Ansiedad,inestabilidad,inestabilidad
Ansiedad,desequilibrio interno,desequilibrio
Ansiedad,sensacion,sensación
Ansiedad,aprieto,aprieto
Ansiedad,angustiar,angustia
Ansiedad,depresion,drepesión
Ansiedad,tension,tensión
Ansiedad,estrés,estrés
Ansiedad,apuro,apuro
Plan,organizado,organización
Plan,tranquilo,tranquilidad
Plan,pensado,pensamiento
Plan,racionalizado,razonamiento
Plan,ordenado,orden
Plan,equilibrado,equilibrio
Compasión ,,bien
Compasión ,empatico,empatía
Compasión ,paciente,paciencia
Compasión ,benevolo,bondad
Compasión ,inteligente,inteligencia
Compasión ,sabio,sabiduría
Compasión ,pacifismo,pacifismo
Compasión ,perdon,perdón
Compasión ,,bien
Compasión ,,claro
Agradecimiento,educacion,educación
Agradecimiento,notar accion favor,favor
Agradecimiento,atencion,atención
Agradecimiento,notacion,notación
Agradecimiento,sociedad,sociedad
Agradecimiento,regla,reglas
Agradecimiento,cortesia,cortesía
Agradecimiento,amabilidad,amabilidad
Agradecimiento,,bien
Ansiedad,nervioso,nerviosismo
Ansiedad,preocupacion,preocupación
Ansiedad,querer,querer
Ansiedad,querer pasar rapido tiempo x motivo,querer
Ansiedad,sudor mano,sudor
Ansiedad,competencia,competencia
Ansiedad,algun acontecimiento importante,acontecimiento importante
Ansiedad,persona demostrar manera,todos
Ansiedad,forma mostrar nervioso,nerviosismo
Obligación,deber,deber
Obligación,responsabilidad,responsabilidad
Obligación,cumplir él,deber
Obligación,,hacer
Obligación,regla,reglas
Obligación,discusión,no discusión
Sugerencia ,consejo,concejo
Sugerencia ,hablar mejora,mejorar
Sugerencia ,,mejorar
Sugerencia ,empresa negocio libro,libros
Sugerencia ,corregir,correción
Razón ,capacidad pensar,pensamiento
Razón ,humano,humano
Razón ,inteligencia,inteligencia
Razón ,capacidad argumentar debatir,argumentación
Razón ,lema chileno,lema patrio
Felicidad,parecido alegrio,alegría
Felicidad,gente busca,búsqueda
Felicidad,relacionar dinero,dinero
Felicidad,sentir corazon,corazón
Felicidad,,bien
Felicidad,vida,bien
Felicidad,relacionar éxito,éxito
Seguridad,confianza,confianza
Seguridad,antivirus,antivirus
Seguridad,sistema alejar peligro,no peligro
Seguridad,resguardar robo,resguardo
Seguridad,encriptar,encriptar
Seguridad,guardia,guardias
Seguridad,proteccion,protección
Compasión ,piedad,piedad
Compasión ,misericordia,misericordia
Compasión ,persona generar otorgar,generación
Compasión ,sentir tristesa alguien,tristeza
Compasión ,empatiar,empatía
Plan,estrategia,estrategia
Plan,,conseguir
Plan,llegar punto determinado,llegar
Plan,idear llegar meta,idea
Plan,utilizar empresa,empresas
Excusa,forma culpa algun suceso,culpa
Excusa,fallo,falla
Excusa,inventar sacar él culpa,invento
Excusa,forma mentir cumplio,mentira
Éxito,felicidad,felicidad
Éxito,orgullo,orgullo
Éxito,honor,honor
Éxito,llegar meta planeo,meta
Éxito,cumplir desear,deseo
Éxito,relacionar suerte,suerte
Éxito,requerir esfuerzo llegar,esfuerzo
Éxito,relacionar felicidad,felicidad
Obsesión,fijación mantenido tiempo objeto persona,fijación
Obsesión,constituir enfermedad mental,enfermedad
Obsesión,provocar desear alguien,deseo
Plan,forma estructurada cosa,estructura
Plan,ayuda definir tarea actividd,ayuda
Plan,definar metodo camino llegar objetivo,método
Plan,estrategia,estrategia
Compasión,sentir él afectado miseria projimo,empatía
Compasión,voluntad ayudar projimo problema,ayuda
Compasión,relacionado empatia,empatía
