Concepto,respuesta,Code
air,high,height
air,clear,transparency
air,big,size
air,light,weightless
air,blue,blue
air,sky,sky
air,invisible,transparency
air,everywhere,ubiquity
air,ability to help sustain life,vital
air,necessary,essential
air,benifical,positive
air,can smell nice,pleasant
air,air move constantly,movement
air,air be necessary to survival of most specie on earth,vital
air,air be ubiquitous,ubiquity
air,air disperse pollen,pollination
air,air current be part of our weather,weather
air,air movement can be gentle or violent,movement
air,fresh,clean
air,a person go outside to get some fresh air,clean
air,a person take a deep breath to fill their lung with natural air,vital
air,vital,vital
air,quality,quality
air,healthy,clean
air,oxygen,oxygen
air,require for most animal to live,vital
air,a necessity,essential
air,potentially dangerous,hazard
air,can make wind,wind
air,not visible to human eye,transparency
air,vulnerable to human pollution,pollution
air,provide oxygen,oxygen
air,ruin by wildfire smoke,pollution
air,support bird migration,migration
air,insect domain,insects
air,subject to weather,weather
air,gasp,breathing
air,free,accessibility
air,fresh,clean
air,open,accessibility
air,accessible,accessibility
air,clear,clean
air,air quality change,air quality
air,plant animal and human rely on air,animals
air,air provide oxygen,oxygen
air,air carry water vapor which play a part in precipitation,weather
air,air create wind,wind
air,air can carry pollen,pollination
air,mostly make of nitogen,nitrogen
air,be a gas,gas
air,we breath be,oxygen
air,be about 14psi at sea level,pressure
air,need for life,vital
air,be hold to the earth by the ozone layer and gravity,ozone
air,oxygen,oxygen
air,nitrogen,nitrogen
air,carbon dioxide,carbon dioxide
air,wind,wind
air,flight,flight
air,ozone,ozone
air,breathe,breathing
air,tree,plant
air,oxygen,oxygen
air,necessary for life,vital
air,necessary for photosynthesis,vital
air,wind,wind
air,wind pattern,wind
air,photosynthesis,photosynthesis
air,air quality,air quality
air,climate regulation,climate
air,airborne seed and pollination,pollination
air,provide life,vital
air,be live,vital
air,allow thin to move freely,movement
air,be oxgen,oxygen
air,be carbohydret,carbon
air,provide plant to produce food,photosynthesis
air,excertion to take place,breathing
air,influence weather and climate,weather
air,air pressure,pressure
air,pollution,pollution
air,water vapor,water vapor
air,thermal insulation,thermal insulation
air,photosynthesis,photosynthesis
air,breatheable,clean
air,movement,movement
air,temperature,temperature
air,pressure,pressure
air,transparency,transparency
air,pressure,pressure
air,polluted,pollution
air,necessary to breathe,vital
air,require for photosynthesis,photosynthesis
air,provide oxygen,oxygen
air,belong to everyone,accessibility
air,should be free of toxin,toxins
air,clean,clean
air,pure,clean
air,fresh,clean
air,light,weightless
air,stagnant,flow
air,flow,flow
air,clean,clean
air,full of insect,insects
air,can be windy or still,wind
air,thin at certain altitude,thickness
air,thick in humid area,thickness
air,endanger by fossil fule,pollution
air,can be clean or dirty,clean
air,can be hot or cold depend on the season,temperature variation
air,have oxygen,oxygen
air,be what create wind,wind
air,can be pollute,pollution
air,air can be humid or dry,humidity
air,mixture of gas air be a mixture of gas primarily nitrogen about 78 oxygen about 21 and trace amount of other gas like argon carbon dioxide and water vapor,gas
air,essential for respiration air provide oxygen which be essential for the respiration of most living organism include human animal and many microorganism,vital
air,weather and climate air play a crucial role in weather and climate pattern by distribute heat and moisture around the planet influence wind precipitation and temperature,weather
air,atmospheric layer air form the earth 's atmosphere which be divide into layer such as the troposphere stratosphere mesosphere and thermosphere each with distinct property and function,layers
air,pressure variation air pressure vary with altitude and weather condition affect everything from breathe at high altitude to weather system,pressure
air,wind formation movement of air or wind be create by difference in air pressure cause by the uneven heating of the earth 's surface by the sun,wind
air,nitrogen,nitrogen
air,oxygen,oxygen
air,argon,argon
air,carbon,carbon
air,neon,neon
air,helium,helium
air,wind,wind
air,weather,weather
air,pollution,pollution
air,oxygen,oxygen
air,temperature,temperature
air,pressure,pressure
animal,survivor,survival
animal,live in group,social
animal,acquire food take up much of it be time,feeding
animal,aware of it 's surrounding,awareness
animal,try to blend into it 's surrounding,camouflage
animal,protect it be offspring,parental care
animal,a living being,life
animal,an organism,life
animal,a living organism,life
animal,something that be alive,life
animal,a resident of earth,life
animal,an organism that be bear and die,life
animal,extremely diverse,diversity
