Concepto,Respuesta,Codigo
granito,tierra,terrestre
granito,rugoso,texturas
granito,construcción,material_construccion
granito,desagradable tacto,texturas
granito,raspa,lastimar
granito,suciedad,suciedad
granito,duro,solido
granito,fino,detallista
granito,arido,sequia
granito,seco,sequia
cáscara,proteger,proteccion
cáscara,decorar,decorativo
cáscara,nutrir,nutritivo
cáscara,caracterizar,caracteristica
cáscara,fragil,fragil
cáscara,pedazos,fragmentado
cáscara,rica,comida_sabrosa
cáscara,protege comida,proteccion
cáscara,forma,contorno
cáscara,contiene nutrientes,nutritivo
caracol,lento,lentitud
caracol,asco,desagrado
caracol,baboso,baboso
caracol,flojo,holgazanear
caracol,sorpresivo,sorpresa
caracol,escondido,oculto
caracol,raro,excentrico
caracol,autoprotección,proteccion
caracol,miedoso,temor
caracol,imperceptible,invisible
hoguera,calienta,caliente
hoguera,,tamanos
hoguera,comida,comida
hoguera,base calor,caliente
hoguera,peligroso,riesgoso
hoguera,recuerda hansel gretel,personajes_literarios
hoguera,miedo,miedo
hoguera,imponente,relevancia
hoguera,multiuso,multiuso
hoguera,difícil prender,inaccesible
espiral,círculo,circunferencia
espiral,perfecto,perfeccionismo
espiral,desigual,desigualdad
espiral,fino,sutileza
espiral,remolino,remolino
espiral,tranqulidad,tranquilidad
espiral,llama atención,notorio
espiral,torbellino,remolino
espiral,pensar,inteligencia
espiral,reflexionar,reflexion
anciana,señora edad,vejez
anciana,cansada,cansancio
anciana,amorosa,amabilidad
anciana,comida rica,comida_sabrosa
anciana,sabia,conocimiento
anciana,experimentada,experiencia
anciana,tranquila,tranquilidad
anciana,apañadora,acompanar
anciana,madre,madre
anciana,preocupada,preocupacion
espanto,miedo,miedo
espanto,alejar,apartarse
espanto,pesadilla,pesadilla
espanto,sentimiento,sentimientos
espanto,sorpresa,sorpresa
espanto,asco,desagrado
espanto,pena,angustia
espanto,trauma,trauma
espanto,rechazo,rechazo
espanto,evitar,evadir
encanto,amor,amor
encanto,llamar atención,sobresaliente
encanto,perfección,perfeccionismo
encanto,mover piso,refran_popular
encanto,característica,caracteristica
encanto,reconocible,reconocer
encanto,querer,amor
encanto,sentimiento,sentimientos
encanto,pareja,noviazgo
encanto,abrazo,afectividad
estatus,altura,estatura
estatus,,valoracion
estatus,representa persona,representativo
estatus,lugar sociedad,privilegios
estatus,genera ranking,jerarquia
estatus,basa dinero,dinero
estatus,,poder
estatus,superioridad,jerarquia
estatus,inferioridad,jerarquia
estatus,afecta trabajo,consecuencia_laboral
levante,fuerza,fuerza
levante,aguante,resistencia
levante,subir,trepador
levante,capacidad,capacidad
levante,cambiar lugar,movimiento
levante,soportar,resistencia
levante,ayudar,ayudar
levante,cambiar lugar,movimiento
levante,comodidad,comodidad
levante,mecánica,mecanico
ajedrez,juego mesa,juego_de_mesa
ajedrez,reglas,instrucciones
ajedrez,juega,relacional
ajedrez,juega tablero,tablero
ajedrez,16 piezas móviles,piezas_tablero
ajedrez,implica estrategia,estrategia
ajedrez,origina india,origen_indio
ajedrez,pieza movimiento específico,instrucciones
ajedrez,juega silencio,tranquilidad
ajedrez,consideran deporte,deporte
cadáver,persona falleció,difunto
cadáver,cuerpo vida,difunto
cadáver,cuerpo descomposición,descomposicion
cadáver,entierran cementerio,cementerio
cadáver,cuerpo frío,rigor_mortis
cadáver,queman vuelven cenizas,cremacion
cadáver,restos persona vivió,difunto
