Palabra (concepto),Descripción,Codificación
Compasión ,sentimiento,sentimiento
Compasión ,perdona vida alguien peliculas,perdón
plan,necesario cumplir objetivos,objetivos
plan,organizar recursos personas,organización
plan,estrategia,estrategia
Habilidad,capacidad,capacidad
Habilidad,diferencian personas,personal
Habilidad,permite cumplir metas,meta
Habilidad,blandas duras,blandas
Ganancia ,genera trabajo,trabajo
Ganancia ,utilidad,utilidad
Ganancia ,diferencia costo precio venta,diferencia
Verdad,contrario mentira,no mentir
Esperanza,confianza,confianza
Esperanza,fe pasar,fe
Éxito,metas,meta
Éxito,ganar,ganar
Éxito,superar objetivos,superación
Oportunidad,permite innovar,innovación
Oportunidad,basa éxito negocio,éxito
Oportunidad,problema solcion,problemas
Felicidad,alegría,alegría
Felicidad,sentimiento,sentimiento
Felicidad,contrario tristeza,no tristeza
Desesperación,sentimiento,sentimiento
Desesperación,cosas resultan,no resultados
Razón ,comprension,comprensión
Razón ,sentimiento,sentimiento
Razón ,logica,lógica
Razón ,analisis,análisis
Razón ,vida,vida
Razón ,inteligencia,inteligencia
Razón ,abstraccion,abstracción
Razón ,empatia,empatía
Razón ,simpatia,simpatía
Razón ,paciencia,paciencia
Desesperación,impaciencia,impaciencia
Desesperación,impulsivo,impulso
Desesperación,angustia,angustia
Desesperación,descontento,descontento
Desesperación,depresion,depresión
Desesperación,ambigüedad,ambigüedad
Desesperación,apuro,apuro
Seguridad,contento,alegría
Seguridad,calido,calidez
Seguridad,comodidad,comodidad
Seguridad,estabilidad,estabilidad
Seguridad,equilibrio,equilibrio
Seguridad,control,control
Seguridad,vision,visión
Seguridad,sensorial,sensorial
Seguridad,espacio,espacio
Seguridad,concreto,concreto
Definición,concretar,concreto
Definición,fijo,invariable 
Definición,,hechos
Definición,solido,sólido
Definición,incambiante,no cambio
Definición,constante,constante
Definición,invariable,invariable 
Destreza,presición,precisión
Destreza,habilidad,habilidades
Destreza,facilidad,facilidad
Destreza,maestria,maestría
Destreza,optimo,óptimo
Destreza,impecabilidad,impecabilidad
Destreza,destacado,destacado
Destreza,habilitado,habilidades
Destreza,seguro,seguridad
Habilidad,destreza,destreza
Habilidad,facilidad,facilidad
Habilidad,general,general
Habilidad,cosas,poder
Habilidad,opcion,opción
Habilidad,libertad,libertad
Habilidad,independencia,independencia
Habilidad,seguridad,seguridad
Habilidad,estabilidad,estabilidad
Ansiedad,sentir apuro pase,apuro
Ansiedad,inestabilidad,inestabilidad
Ansiedad,desequilibrio interno,desequilibrio
Ansiedad,sensacion,sensación
Ansiedad,aprieto,aprieto
Ansiedad,angustia,angustia
Ansiedad,depresion,drepesión
Ansiedad,tension,tensión
Ansiedad,estrés,estrés
Ansiedad,apuro,apuro
Plan,organizado,organización
Plan,tranquilo,tranquilidad
Plan,pensado,pensamiento
Plan,racionalizado,razonamiento
Plan,ordenado,orden
Plan,equilibrado,equilibrio
Compasión ,,bien
Compasión ,empatico,empatía
Compasión ,paciente,paciencia
Compasión ,benevolo,bondad
Compasión ,inteligente,inteligencia
Compasión ,sabio,sabiduría
Compasión ,pacifismo,pacifismo
Compasión ,perdon,perdón
Compasión ,,bien
Compasión ,,claro
Agradecimiento,educacion,educación
Agradecimiento,notar accion favor,favor
Agradecimiento,atencion,atención
Agradecimiento,notacion,notación
Agradecimiento,sociedad,sociedad
Agradecimiento,regla,reglas
Agradecimiento,cortesia,cortesía
Agradecimiento,amabilidad,amabilidad
Agradecimiento,,bien
Ansiedad,nervioso,nerviosismo
Ansiedad,preocupacion,preocupación
Ansiedad,querer,querer
Ansiedad,querer pase rapido tiempo x motivo,querer
Ansiedad,sudor manos,sudor
Ansiedad,competencia,competencia
Ansiedad,algun acontecimiento importante,acontecimiento importante
Ansiedad,personas demuestran maneras,todos
Ansiedad,forma mostrar nervioso,nerviosismo
Obligación,deber,deber
Obligación,responsabilidad,responsabilidad
Obligación,cumplirse,deber
Obligación,,hacer
Obligación,reglas,reglas
Obligación,discusión,no discusión
Sugerencia ,consejo,concejo
Sugerencia ,hablar mejora,mejorar
Sugerencia ,,mejorar
Sugerencia ,empresas negocios libro,libros
Sugerencia ,corregir,correción
Razón ,capacidad pensar,pensamiento
Razón ,humano,humano
Razón ,inteligencia,inteligencia
Razón ,capacidad argumentar debatir,argumentación
Razón ,lema chileno,lema patrio
Felicidad,parecido alegria,alegría
Felicidad,gente busca,búsqueda
Felicidad,relacionan dinero,dinero
Felicidad,siente corazon,corazón
Felicidad,,bien
Felicidad,vida,bien
Felicidad,relacionan éxito,éxito
Seguridad,confianza,confianza
Seguridad,antivirus,antivirus
Seguridad,sistema aleja peligro,no peligro
Seguridad,resguardar robos,resguardo
Seguridad,encriptar,encriptar
Seguridad,guardias,guardias
Seguridad,proteccion,protección
Compasión ,piedad,piedad
Compasión ,misericordia,misericordia
Compasión ,personas generan otorgan,generación
Compasión ,sentir tristesa alguien,tristeza
Compasión ,empatia,empatía
Plan,estrategia,estrategia
Plan,,conseguir
Plan,llegar punto determinado,llegar
Plan,idea llegar meta,idea
Plan,utiliza empresas,empresas
Excusa,forma culpa algun suceso,culpa
Excusa,falla,falla
Excusa,inventar sacarse culpa,invento
Excusa,forma mentir cumplio,mentira
Éxito,felicidad,felicidad
Éxito,orgullo,orgullo
Éxito,honor,honor
Éxito,llega meta planeo,meta
