Concepto,respuesta,Code
air,high,height
air,clear,transparency
air,big,size
air,light,weightless
air,blue,blue
air,sky,sky
air,invisible,transparency
air,everywhere,ubiquity
air,ability to help sustain life,vital
air,necessary,essential
air,benifical,positive
air,can smell nice,pleasant
air,air moves constantly,movement
air,air is necessary to survival of most species on earth,vital
air,air is ubiquitous,ubiquity
air,air disperses pollen,pollination
air,air currents are part of our weather,weather
air,air movement can be gentle or violent,movement
air,fresh,clean
air,a person going outside to get some fresh air,clean
air,a person taking a deep breath to fill their lungs with natural air,vital
air,vital,vital
air,quality,quality
air,healthy,clean
air,oxygen,oxygen
air,required for most animals to live,vital
air,a necessity,essential
air,potentially dangerous,hazard
air,can make wind,wind
air,not visible to human eyes,transparency
air,vulnerable to human pollution,pollution
air,provides oxygen,oxygen
air,ruined by wildfire smoke,pollution
air,supports bird migration,migration
air,insect domain,insects
air,subject to weather,weather
air,gasp,breathing
air,free,accessibility
air,fresh,clean
air,open,accessibility
air,accessible,accessibility
air,clear,clean
air,air quality changes,air quality
air,plants animals and humans rely on air,animals
air,air provides oxygen,oxygen
air,air carries water vapor which plays a part in precipitation,weather
air,air creates wind,wind
air,air can carry pollen,pollination
air,mostly made of nitogen,nitrogen
air,is a gas,gas
air,we breath is,oxygen
air,is about 14psi at sea level,pressure
air,needed for life,vital
air,is held to the earth by the ozone layer and gravity,ozone
air,oxygen,oxygen
air,nitrogen,nitrogen
air,carbon dioxide,carbon dioxide
air,wind,wind
air,flight,flight
air,ozone,ozone
air,breathe,breathing
air,trees,plant
air,oxygen,oxygen
air,necessary for life,vital
air,necessary for photosynthesis,vital
air,wind,wind
air,wind patterns,wind
air,photosynthesis,photosynthesis
air,air quality,air quality
air,climate regulation,climate
air,airborne seeds and pollination,pollination
air,provides life,vital
air,is live,vital
air,allow thins to move freely,movement
air,is oxgen,oxygen
air,is carbohydret,carbon
air,provides plants to produce food,photosynthesis
air,excertion to take place,breathing
air,influences weather and climate,weather
air,air pressure,pressure
air,pollution,pollution
air,water vapor,water vapor
air,thermal insulation,thermal insulation
air,photosynthesis,photosynthesis
air,breatheable,clean
air,movement,movement
air,temperature,temperature
air,pressure,pressure
air,transparency,transparency
air,pressure,pressure
air,polluted,pollution
air,necessary to breathe,vital
air,required for photosynthesis,photosynthesis
air,provides oxygen,oxygen
air,belongs to everyone,accessibility
air,should be free of toxins,toxins
air,clean,clean
air,pure,clean
air,fresh,clean
air,light,weightless
air,stagnant,flow
air,flowing,flow
air,clean,clean
air,full of insects,insects
air,can be windy or still,wind
air,thin at certain altitudes,thickness
air,thick in humid areas,thickness
air,endangered by fossil fules,pollution
air,can be clean or dirty,clean
air,can be hot or cold depending on the season,temperature variation
air,has oxygen,oxygen
air,is what creates wind,wind
air,can be polluted,pollution
air,air can be humid or dry,humidity
air,mixture of gases air is a mixture of gases primarily nitrogen about 78 oxygen about 21 and trace amounts of other gases like argon carbon dioxide and water vapor,gas
air,essential for respiration air provides oxygen which is essential for the respiration of most living organisms including humans animals and many microorganisms,vital
air,weather and climate air plays a crucial role in weather and climate patterns by distributing heat and moisture around the planet influencing wind precipitation and temperature,weather
air,atmospheric layers air forms the earth 's atmosphere which is divided into layers such as the troposphere stratosphere mesosphere and thermosphere each with distinct properties and functions,layers
air,pressure variations air pressure varies with altitude and weather conditions affecting everything from breathing at high altitudes to weather systems,pressure
air,wind formation movement of air or wind is created by differences in air pressure caused by the uneven heating of the earth 's surface by the sun,wind
air,nitrogen,nitrogen
air,oxygen,oxygen
air,argon,argon
air,carbon,carbon
air,neon,neon
air,helium,helium
air,wind,wind
air,weather,weather
air,pollution,pollution
air,oxygen,oxygen
air,temperature,temperature
air,pressure,pressure
animal,survivor,survival
animal,live in groups,social
animal,acquiring food takes up much of it 's time,feeding
animal,aware of it 's surroundings,awareness
animal,tries to blend into it 's surroundings,camouflage
animal,protects it 's offspring,parental care
animal,a living being,life
animal,an organism,life
animal,a living organism,life
animal,something that is alive,life
animal,a resident of earth,life
