Concepto,respuesta,Code
air,high,height
air,clear,transparency
air,big,size
air,light,weightless
air,blue,blue
air,sky,sky
air,invisible,transparency
air,,ubiquity
air,ability help sustain life,vital
air,necessary,essential
air,benifical,positive
air,smell nice,pleasant
air,air moves constantly,movement
air,air necessary survival species earth,vital
air,air ubiquitous,ubiquity
air,air disperses pollen,pollination
air,air currents weather,weather
air,air movement gentle violent,movement
air,fresh,clean
air,person going outside fresh air,clean
air,person taking deep breath fill lungs natural air,vital
air,vital,vital
air,quality,quality
air,healthy,clean
air,oxygen,oxygen
air,required animals live,vital
air,necessity,essential
air,potentially dangerous,hazard
air,wind,wind
air,visible human eyes,transparency
air,vulnerable human pollution,pollution
air,provides oxygen,oxygen
air,ruined wildfire smoke,pollution
air,supports bird migration,migration
air,insect domain,insects
air,subject weather,weather
air,gasp,breathing
air,free,accessibility
air,fresh,clean
air,open,accessibility
air,accessible,accessibility
air,clear,clean
air,air quality changes,air quality
air,plants animals humans rely air,animals
air,air provides oxygen,oxygen
air,air carries water vapor plays precipitation,weather
air,air creates wind,wind
air,air carry pollen,pollination
air,nitogen,nitrogen
air,gas,gas
air,breath,oxygen
air,14psi sea level,pressure
air,needed life,vital
air,held earth ozone layer gravity,ozone
air,oxygen,oxygen
air,nitrogen,nitrogen
air,carbon dioxide,carbon dioxide
air,wind,wind
air,flight,flight
air,ozone,ozone
air,breathe,breathing
air,trees,plant
air,oxygen,oxygen
air,necessary life,vital
air,necessary photosynthesis,vital
air,wind,wind
air,wind patterns,wind
air,photosynthesis,photosynthesis
air,air quality,air quality
air,climate regulation,climate
air,airborne seeds pollination,pollination
air,provides life,vital
air,live,vital
air,allow thins freely,movement
air,oxgen,oxygen
air,carbohydret,carbon
air,provides plants produce food,photosynthesis
air,excertion place,breathing
air,influences weather climate,weather
air,air pressure,pressure
air,pollution,pollution
air,water vapor,water vapor
air,thermal insulation,thermal insulation
air,photosynthesis,photosynthesis
air,breatheable,clean
air,movement,movement
air,temperature,temperature
air,pressure,pressure
air,transparency,transparency
air,pressure,pressure
air,polluted,pollution
air,necessary breathe,vital
air,required photosynthesis,photosynthesis
air,provides oxygen,oxygen
air,belongs,accessibility
air,free toxins,toxins
air,clean,clean
air,pure,clean
air,fresh,clean
air,light,weightless
air,stagnant,flow
air,flowing,flow
air,clean,clean
air,insects,insects
air,windy,wind
air,thin certain altitudes,thickness
air,thick humid areas,thickness
air,endangered fossil fules,pollution
air,clean dirty,clean
air,hot cold depending season,temperature variation
air,oxygen,oxygen
air,creates wind,wind
air,polluted,pollution
air,air humid dry,humidity
air,mixture gases air mixture gases primarily nitrogen 78 oxygen 21 trace amounts gases like argon carbon dioxide water vapor,gas
air,essential respiration air provides oxygen essential respiration living organisms including humans animals microorganisms,vital
air,weather climate air plays crucial role weather climate patterns distributing heat moisture planet influencing wind precipitation temperature,weather
air,atmospheric layers air forms earth atmosphere divided layers troposphere stratosphere mesosphere thermosphere distinct properties functions,layers
air,pressure variations air pressure varies altitude weather conditions affecting breathing high altitudes weather systems,pressure
air,wind formation movement air wind created differences air pressure caused uneven heating earth surface sun,wind
air,nitrogen,nitrogen
air,oxygen,oxygen
air,argon,argon
air,carbon,carbon
air,neon,neon
air,helium,helium
air,wind,wind
air,weather,weather
air,pollution,pollution
air,oxygen,oxygen
air,temperature,temperature
air,pressure,pressure
animal,survivor,survival
animal,live groups,social
animal,acquiring food takes time,feeding
animal,aware surroundings,awareness
animal,tries blend surroundings,camouflage
animal,protects offspring,parental care
animal,living,life
animal,organism,life
animal,living organism,life
animal,alive,life
animal,resident earth,life
animal,organism born dies,life
animal,extremely diverse,diversity
animal,found habitats,ubiquity
animal,separate humans,non-human
animal,food chain hierarchy,food chain
animal,free,freedom
animal,dangerous,dangerous
animal,bird,bird
animal,pets,pets
animal,caged,caged
animal,dangerous animals,dangerous
animal,trained,trained
animal,different species,diversity
animal,integrated nature,nature integration
animal,predators prey,food chain
animal,balance,balance
animal,endangered,endangered
