model,type,mean,std,E-type
E5,Norm.,0.25887851989132654,0.0038194519379646996,Train
Word2Vec,Norm.,0.26644424123719634,0.007210984388310479,Train
LaBSE,Norm.,0.24021406984596108,0.005027388786723476,Train
BERT,Norm.,0.19088055739171456,0.004155170637707615,Train
CANINE,Norm.,0.15516603541810742,0.003557400486136543,Train
E5,Lemm.,0.26220843873225136,0.007672931248330151,Train
Word2Vec,Lemm.,0.265335116400606,0.0077288790998973535,Train
LaBSE,Lemm.,0.24061744810709396,0.006909136628174088,Train
BERT,Lemm.,0.19239336580917618,0.005494509546502427,Train
CANINE,Lemm.,0.15920215881409744,0.005655262254394668,Train
E5,Norm.,0.2147051156728576,0.025528233833226315,Test
Word2Vec,Norm.,0.221564027370479,0.025640118812767503,Test
LaBSE,Norm.,0.18968230694037144,0.016543987981809314,Test
BERT,Norm.,0.12269305962854349,0.015183945792826363,Test
CANINE,Norm.,0.09766862170087977,0.010656544547495478,Test
E5,Lemm.,0.21469289670902575,0.013101718682678306,Test
Word2Vec,Lemm.,0.2223696643857934,0.02565940981423833,Test
LaBSE,Lemm.,0.18483952427500816,0.014918379624776682,Test
BERT,Lemm.,0.12712609970674488,0.010061571292394798,Test
CANINE,Lemm.,0.10492505702183122,0.010539718806545363,Test
