model,type,mean,std,E-type
E5,Norm.,0.3372688420934297,0.009577451575112934,Train
Word2Vec,Norm.,0.3241168107050679,0.0035646139950583906,Train
LaBSE,Norm.,0.295026782020248,0.008101355624230788,Train
BERT,Norm.,0.21284537195816972,0.0038094274047661167,Train
CANINE,Norm.,0.1626342671641282,0.0010899172589224993,Train
E5,Lemm.,0.328245932017069,0.007991508321835445,Train
Word2Vec,Lemm.,0.3251727954015829,0.005323851726023379,Train
LaBSE,Lemm.,0.29781150396731426,0.004145266133279596,Train
BERT,Lemm.,0.20823778637595453,0.0025836950046929604,Train
CANINE,Lemm.,0.16829889711336538,0.0024108331165173134,Train
E5,Norm.,0.3037627343865348,0.007874082763913978,Test
Word2Vec,Norm.,0.2884076480141739,0.009362947269853875,Test
LaBSE,Norm.,0.24462276686844825,0.007003444461933994,Test
BERT,Norm.,0.15629484718736159,0.00641858592594145,Test
CANINE,Norm.,0.10561051232836263,0.011991615170596574,Test
E5,Lemm.,0.2814860475417097,0.015503645470231486,Test
Word2Vec,Lemm.,0.2807219843496235,0.013700455817204627,Test
LaBSE,Lemm.,0.2569112653181751,0.015013908893173458,Test
BERT,Lemm.,0.14208622471578325,0.0049263252117752575,Test
CANINE,Lemm.,0.10752842167429502,0.005038605717530389,Test
