model,type,mean,std,E-type
E5,Norm.,0.5990224345955892,0.003962395563539633,Train
Word2Vec,Norm.,0.5871359744269495,0.0029883868184880096,Train
LaBSE,Norm.,0.597390491296981,0.0019102077438310772,Train
BETO,Norm.,0.5004394086151438,0.0027818969203938955,Train
CANINE,Norm.,0.45537286574464275,0.0038341261644778517,Train
E5,Lemm.,0.5901488012527942,0.004038324802404083,Train
Word2Vec,Lemm.,0.5786153908675631,0.003032852030960772,Train
LaBSE,Lemm.,0.593600952054513,0.002849133985879598,Train
BETO,Lemm.,0.5088815238771719,0.0026745313347883446,Train
CANINE,Lemm.,0.46999751893061914,0.00336223878367653,Train
E5,Norm.,0.5449726408757756,0.007697256879798858,Test
Word2Vec,Norm.,0.5404219178740665,0.005093942556401926,Test
LaBSE,Norm.,0.5445960767672864,0.009881034601113756,Test
BETO,Norm.,0.4339069682410365,0.011270326466062191,Test
CANINE,Norm.,0.39847505794070615,0.008517622961658663,Test
E5,Lemm.,0.5335802997757428,0.007729004545729228,Test
Word2Vec,Lemm.,0.5324818667185964,0.005560962110360279,Test
LaBSE,Lemm.,0.5432153499112359,0.008695054390787016,Test
BETO,Lemm.,0.44561301508472706,0.00970200830109429,Test
CANINE,Lemm.,0.4140414151076187,0.011146002160660516,Test
