model,param_value,mean,std,E-type
SVC,kernel=Linear C=3,0.3070077435931938,0.009897566056405991,Train
SVC,kernel=Linear C=3,0.2853344490522542,0.009944094543544118,Test
KNN,n_neighbors=10,0.5947751474550587,0.0030225305128186186,Train
KNN,n_neighbors=10,0.5228861843643479,0.007374354622452002,Test
k-Means,n_clusters=550,0.5338700601353927,0.0050068399549621735,Train
k-Means,n_clusters=550,0.4297347296227475,0.013874584941680562,Test
desision_trees,max_leaf_nodes=300,0.3421429729374713,0.003799647504230013,Train
desision_trees,max_leaf_nodes=300,0.20960133558117883,0.008479279094669695,Test
naive_bayes,var_smoothing=5,0.7798704125537838,0.002838286906081158,Train
naive_bayes,var_smoothing=5,0.4649672462662385,0.010025075424744581,Test
random_forest,max_depth=10,0.23528463342871975,0.020382753523762818,Train
random_forest,max_depth=10,0.12676144192904898,0.008455509490139852,Test
XGBoost,max_depth=10 n_estimators=6,0.22218489004252598,0.02441744317087064,Train
XGBoost,max_depth=10 n_estimators=6,0.12805790293344227,0.015240093804256845,Test
