model,param_value,mean,std,E-type
SVC,kernel=Linear C=1,0.5876870909143335,0.0039889107249719774,Train
SVC,kernel=Linear C=1,0.45727268252464215,0.006472143142911996,Test
KNN,n_neighbors=10,0.5177705756273848,0.004061366119942276,Train
KNN,n_neighbors=10,0.4337841330002584,0.011647195994702587,Test
k-Means,n_clusters=550,0.49473488205197214,0.0035080086073245413,Train
k-Means,n_clusters=550,0.3809248981701389,0.00941552726652473,Test
desision_trees,max_leaf_nodes=200,0.27804820442829725,0.004685075133992158,Train
desision_trees,max_leaf_nodes=200,0.21263715754197277,0.005815320001234243,Test
naive_bayes,var_smoothing=50,0.34259884855300216,0.008375656820835251,Train
naive_bayes,var_smoothing=50,0.27966950928877016,0.01012038336474275,Test
random_forest,max_depth=10,0.2603969049342787,0.007610286302483809,Train
random_forest,max_depth=10,0.14872834487836145,0.01124480894420786,Test
XGBoost,max_depth=5 n_estimators=1,0.009059776839239975,0.0008075971372500448,Train
XGBoost,max_depth=5 n_estimators=1,0.007466208518711402,7.210815289247548e-05,Test
