params,train_mean,train_std,test_mean,test_std
{'n_clusters': 50},0.15284134521024326,0.003449865083958525,0.12212313598110143,0.007200355220066651
{'n_clusters': 100},0.21284537195816972,0.0038094274047661167,0.15629484718736159,0.00641858592594145
{'n_clusters': 150},0.2603688759107407,0.004874730783941821,0.1678155913184704,0.007068749819957205
{'n_clusters': 200},0.2972346746304745,0.006200908725939547,0.1839502436143511,0.009326218698264508
{'n_clusters': 250},0.33054942533607684,0.005245623219066704,0.1962313598110143,0.008061234434958148
{'n_clusters': 300},0.36021522368722947,0.0036545180941769365,0.20276096264579951,0.006134576785005576
{'n_clusters': 350},0.3896893138218814,0.0036113616489456056,0.2119813967222796,0.004935962318710297
{'n_clusters': 400},0.4171469431270232,0.0021066936706250253,0.21620773660121068,0.006775223373088301
{'n_clusters': 450},0.44076358935279936,0.006549545685532779,0.2258127860623062,0.012827407341847041
{'n_clusters': 500},0.4637092337845073,0.005244974247927689,0.23310349918795215,0.006510401233778404
{'n_clusters': 550},0.486942601795174,0.006550808327578535,0.23463900782518826,0.009033364056703746
{'n_clusters': 600},0.5093119236889802,0.006450645555994851,0.24500812047836998,0.009614011531631234
{'n_clusters': 650},0.5324494606277119,0.005705282435865361,0.2488483685220729,0.00847360462750253
{'n_clusters': 700},0.5548189207394104,0.006012443718960502,0.253842462719622,0.011841467583525925
{'n_clusters': 750},0.5776684115907681,0.005874886282623506,0.25806363502140856,0.012215987575004465
{'n_clusters': 800},0.5990777641505174,0.007212539110213311,0.263442344603573,0.010077030265096957
{'n_clusters': 850},0.6197190859558643,0.007609011527151487,0.26459619075741914,0.010412681318568063
{'n_clusters': 900},0.6415124999654456,0.008173222575663396,0.2715104089768198,0.010120887919194995
{'n_clusters': 950},0.6624415914223819,0.007518101878676877,0.2757345341798317,0.011024657812748006
{'n_clusters': 1000},0.683850990054762,0.006948698716307765,0.2757345341798317,0.009747716587444255
{'n_clusters': 1050},0.7049724808176603,0.006152145219657603,0.2772700428170678,0.006676446981709368
{'n_clusters': 1100},0.7254217258254603,0.0045446586626832555,0.2910933116787243,0.004802148525025136
{'n_clusters': 1150},0.7446230475570909,0.004031071320574009,0.29339878931049757,0.008755170874251499
{'n_clusters': 1200},0.7639202003606564,0.004345249242840972,0.2960874058762734,0.00949834084049566
{'n_clusters': 1250},0.7841774607161713,0.004139432632994044,0.2991591613760519,0.010860965899623085
{'n_clusters': 1300},0.8031865213597322,0.0053076512476843175,0.304534918056991,0.010011655706528517
{'n_clusters': 1350},0.8220038277141617,0.005101166039559462,0.30837295142477483,0.00758825006294935
{'n_clusters': 1400},0.8413970880254469,0.005250908891454156,0.31451867710025094,0.01109059236047432
{'n_clusters': 1450},0.8591586400465149,0.003977668373117276,0.3237354200501993,0.011372640484958918
