params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.11092457334252166,0.002063531345363308,0.10522866053813615,0.005372605117170558
{'max_leaf_nodes': 200},0.16994102606542943,0.0028039098893123467,0.1605261978475775,0.006543214087539104
{'max_leaf_nodes': 300},0.21496834740619697,0.004066096724188704,0.19997499554037063,0.00584572651704532
{'max_leaf_nodes': 400},0.2514201278326278,0.0030273450336433757,0.23264529945216741,0.010340845875722838
{'max_leaf_nodes': 500},0.28393328448385585,0.000838988826535468,0.2601372373977671,0.012398975616249648
{'max_leaf_nodes': 600},0.31100930063691884,0.00184773735639532,0.28354934586028685,0.01333630888996903
{'max_leaf_nodes': 700},0.3350725130475743,0.002531617236597647,0.3057373340862744,0.011623340244714012
{'max_leaf_nodes': 800},0.3592220445864529,0.003934652721435675,0.3252890238745555,0.0076871683368172315
{'max_leaf_nodes': 900},0.3783502160360417,0.0038484468892213716,0.3411690178344789,0.007869898043182135
{'max_leaf_nodes': 1000},0.39694487108278925,0.003906860292876239,0.3551974406701845,0.00854259561475655
{'max_leaf_nodes': 1100},0.4126208717250135,0.004106846986431218,0.3673741544803785,0.008303319711205594
{'max_leaf_nodes': 1200},0.427606424601926,0.003751243662623725,0.37977060907751026,0.008190103966412858
{'max_leaf_nodes': 1300},0.44154065064379433,0.0036513414941673566,0.3900957468384404,0.008743661945283827
{'max_leaf_nodes': 1400},0.45645559898093824,0.003426968660858472,0.39966766280651395,0.008368650957687039
{'max_leaf_nodes': 1500},0.46872649440525505,0.0035682688691334014,0.4077332533899831,0.00876051892601877
