params,train_mean,train_std,test_mean,test_std
"{'max_depht': 5, 'n_estimators': 1}",0.0313379609651129,0.004430666885058328,0.02514177993766444,0.0035374438591794246
"{'max_depht': 5, 'n_estimators': 2}",0.07095828726297082,0.008308837849208323,0.054982394378345255,0.008740933324889986
"{'max_depht': 5, 'n_estimators': 3}",0.1354843518199222,0.013859631028414173,0.08493948261621678,0.009276730945454966
"{'max_depht': 5, 'n_estimators': 4}",0.18159553877145845,0.018844148298579003,0.10244470772184015,0.012208740173070953
"{'max_depht': 5, 'n_estimators': 5}",0.20180220572710947,0.021536006697138493,0.11219655919290834,0.01470969251184437
"{'max_depht': 5, 'n_estimators': 6}",0.2212449489737712,0.02713491168715828,0.12124342678607532,0.01626918350621476
"{'max_depht': 5, 'n_estimators': 7}",0.24130488950768925,0.030138960952904234,0.12993693992698307,0.015669034721616616
"{'max_depht': 5, 'n_estimators': 8}",0.26227504022597714,0.031039404377392023,0.13933564394898612,0.01652935618679907
"{'max_depht': 5, 'n_estimators': 9}",0.27957393352367477,0.03539989198414739,0.1466197413426089,0.01791906461438348
"{'max_depht': 5, 'n_estimators': 10}",0.2971666894187942,0.03864842236279323,0.1526119318021077,0.020360890779425767
"{'max_depht': 5, 'n_estimators': 11}",0.3155522674597778,0.04231146801854949,0.15919097631676454,0.020634054009392014
"{'max_depht': 5, 'n_estimators': 12}",0.33828415746715124,0.052219954606896095,0.1630675941329775,0.019578295834364986
"{'max_depht': 5, 'n_estimators': 13}",0.35517190795890985,0.055603941158858076,0.16847141251389508,0.019931772807443796
"{'max_depht': 5, 'n_estimators': 14}",0.37719938778445816,0.06049218647841398,0.1742275503311016,0.020303271569303158
"{'max_depht': 5, 'n_estimators': 15}",0.3856286563801171,0.061093666159129874,0.17728215846370507,0.02090043382618344
"{'max_depht': 5, 'n_estimators': 16}",0.3921490797033985,0.05631054791793045,0.17916167846469871,0.019543359523380273
"{'max_depht': 5, 'n_estimators': 17}",0.4014886663134156,0.05718300003529536,0.1826854938371699,0.018388780787292558
"{'max_depht': 5, 'n_estimators': 18}",0.41338378051507807,0.05255535567941335,0.18632716302812552,0.01628425969903599
"{'max_depht': 5, 'n_estimators': 19}",0.42736359776050054,0.05793206376873736,0.18855893346434333,0.016692052982596395
"{'max_depht': 10, 'n_estimators': 1}",0.0313379609651129,0.004430666885058328,0.02514177993766444,0.0035374438591794246
"{'max_depht': 10, 'n_estimators': 2}",0.07095828726297082,0.008308837849208323,0.054982394378345255,0.008740933324889986
"{'max_depht': 10, 'n_estimators': 3}",0.1354843518199222,0.013859631028414173,0.08493948261621678,0.009276730945454966
"{'max_depht': 10, 'n_estimators': 4}",0.18159553877145845,0.018844148298579003,0.10244470772184015,0.012208740173070953
"{'max_depht': 10, 'n_estimators': 5}",0.20180220572710947,0.021536006697138493,0.11219655919290834,0.01470969251184437
"{'max_depht': 10, 'n_estimators': 6}",0.2212449489737712,0.02713491168715828,0.12124342678607532,0.01626918350621476
"{'max_depht': 10, 'n_estimators': 7}",0.24130488950768925,0.030138960952904234,0.12993693992698307,0.015669034721616616
"{'max_depht': 10, 'n_estimators': 8}",0.26227504022597714,0.031039404377392023,0.13933564394898612,0.01652935618679907
"{'max_depht': 10, 'n_estimators': 9}",0.27957393352367477,0.03539989198414739,0.1466197413426089,0.01791906461438348
"{'max_depht': 10, 'n_estimators': 10}",0.2971666894187942,0.03864842236279323,0.1526119318021077,0.020360890779425767
"{'max_depht': 10, 'n_estimators': 11}",0.3155522674597778,0.04231146801854949,0.15919097631676454,0.020634054009392014
"{'max_depht': 10, 'n_estimators': 12}",0.33828415746715124,0.052219954606896095,0.1630675941329775,0.019578295834364986
"{'max_depht': 10, 'n_estimators': 13}",0.35517190795890985,0.055603941158858076,0.16847141251389508,0.019931772807443796
"{'max_depht': 10, 'n_estimators': 14}",0.37719938778445816,0.06049218647841398,0.1742275503311016,0.020303271569303158
"{'max_depht': 10, 'n_estimators': 15}",0.3856286563801171,0.061093666159129874,0.17728215846370507,0.02090043382618344
"{'max_depht': 10, 'n_estimators': 16}",0.3921490797033985,0.05631054791793045,0.17916167846469871,0.019543359523380273
"{'max_depht': 10, 'n_estimators': 17}",0.4014886663134156,0.05718300003529536,0.1826854938371699,0.018388780787292558
"{'max_depht': 10, 'n_estimators': 18}",0.41338378051507807,0.05255535567941335,0.18632716302812552,0.01628425969903599
"{'max_depht': 10, 'n_estimators': 19}",0.42736359776050054,0.05793206376873736,0.18855893346434333,0.016692052982596395
"{'max_depht': 50, 'n_estimators': 1}",0.0313379609651129,0.004430666885058328,0.02514177993766444,0.0035374438591794246
"{'max_depht': 50, 'n_estimators': 2}",0.07095828726297082,0.008308837849208323,0.054982394378345255,0.008740933324889986
"{'max_depht': 50, 'n_estimators': 3}",0.1354843518199222,0.013859631028414173,0.08493948261621678,0.009276730945454966
"{'max_depht': 50, 'n_estimators': 4}",0.18159553877145845,0.018844148298579003,0.10244470772184015,0.012208740173070953
"{'max_depht': 50, 'n_estimators': 5}",0.20180220572710947,0.021536006697138493,0.11219655919290834,0.01470969251184437
"{'max_depht': 50, 'n_estimators': 6}",0.2212449489737712,0.02713491168715828,0.12124342678607532,0.01626918350621476
"{'max_depht': 50, 'n_estimators': 7}",0.24130488950768925,0.030138960952904234,0.12993693992698307,0.015669034721616616
"{'max_depht': 50, 'n_estimators': 8}",0.26227504022597714,0.031039404377392023,0.13933564394898612,0.01652935618679907
"{'max_depht': 50, 'n_estimators': 9}",0.27957393352367477,0.03539989198414739,0.1466197413426089,0.01791906461438348
"{'max_depht': 50, 'n_estimators': 10}",0.2971666894187942,0.03864842236279323,0.1526119318021077,0.020360890779425767
"{'max_depht': 50, 'n_estimators': 11}",0.3155522674597778,0.04231146801854949,0.15919097631676454,0.020634054009392014
"{'max_depht': 50, 'n_estimators': 12}",0.33828415746715124,0.052219954606896095,0.1630675941329775,0.019578295834364986
"{'max_depht': 50, 'n_estimators': 13}",0.35517190795890985,0.055603941158858076,0.16847141251389508,0.019931772807443796
"{'max_depht': 50, 'n_estimators': 14}",0.37719938778445816,0.06049218647841398,0.1742275503311016,0.020303271569303158
"{'max_depht': 50, 'n_estimators': 15}",0.3856286563801171,0.061093666159129874,0.17728215846370507,0.02090043382618344
"{'max_depht': 50, 'n_estimators': 16}",0.3921490797033985,0.05631054791793045,0.17916167846469871,0.019543359523380273
"{'max_depht': 50, 'n_estimators': 17}",0.4014886663134156,0.05718300003529536,0.1826854938371699,0.018388780787292558
"{'max_depht': 50, 'n_estimators': 18}",0.41338378051507807,0.05255535567941335,0.18632716302812552,0.01628425969903599
"{'max_depht': 50, 'n_estimators': 19}",0.42736359776050054,0.05793206376873736,0.18855893346434333,0.016692052982596395
"{'max_depht': 100, 'n_estimators': 1}",0.0313379609651129,0.004430666885058328,0.02514177993766444,0.0035374438591794246
"{'max_depht': 100, 'n_estimators': 2}",0.07095828726297082,0.008308837849208323,0.054982394378345255,0.008740933324889986
"{'max_depht': 100, 'n_estimators': 3}",0.1354843518199222,0.013859631028414173,0.08493948261621678,0.009276730945454966
"{'max_depht': 100, 'n_estimators': 4}",0.18159553877145845,0.018844148298579003,0.10244470772184015,0.012208740173070953
"{'max_depht': 100, 'n_estimators': 5}",0.20180220572710947,0.021536006697138493,0.11219655919290834,0.01470969251184437
