params,train_mean,train_std,test_mean,test_std
{'n_clusters': 50},0.09325648049364205,0.003101685365481161,0.07108319079203737,0.007159166461897734
{'n_clusters': 100},0.14585876993166286,0.004004859186999167,0.10389065954575472,0.006525286463507193
{'n_clusters': 150},0.18990485344200636,0.003377150591595314,0.13609166123163882,0.013119802869708822
{'n_clusters': 200},0.22129404188652768,0.0036415269891762084,0.15512738474664567,0.012378088620517981
{'n_clusters': 250},0.2495443870963608,0.004175445874751521,0.1711258506331295,0.016635043193579717
{'n_clusters': 300},0.27425097956293715,0.004215723712993777,0.18955449179413345,0.017107718833939668
{'n_clusters': 350},0.29521085192340346,0.004348909590915916,0.19785921432058048,0.01670787010741672
{'n_clusters': 400},0.3162212162279058,0.0027735419883650474,0.20737830665042312,0.019349692664852647
{'n_clusters': 450},0.3340422453536839,0.003268193707625195,0.21446312179794824,0.017232866233454314
{'n_clusters': 500},0.3515089594366432,0.003883398446163623,0.22195587167591646,0.013428905998064275
{'n_clusters': 550},0.36750735753486535,0.003067117011266327,0.2290441734450693,0.014594253007515625
{'n_clusters': 600},0.38259472205402256,0.004973288206723269,0.23471362530713033,0.015550318996685837
