params,train_mean,train_std,test_mean,test_std
"{'max_depth': 5, 'n_estimators': 1}",0.02574264652681129,0.0027150133275491433,0.023436845171775817,0.00533869824022504
"{'max_depth': 5, 'n_estimators': 2}",0.060296798988751135,0.008305381173620346,0.04558234779023691,0.00776782653777858
"{'max_depth': 5, 'n_estimators': 3}",0.09858778414773768,0.011442561995339273,0.05794686755731824,0.00941676905594564
"{'max_depth': 5, 'n_estimators': 4}",0.1261295896695991,0.017273152697474706,0.06680431901271922,0.009545763963881434
"{'max_depth': 5, 'n_estimators': 5}",0.14610530863094096,0.023199214965415212,0.07492342236441754,0.008718963343145652
"{'max_depth': 5, 'n_estimators': 6}",0.15888406176449307,0.028566665396552816,0.08064383136906161,0.010460832277407375
"{'max_depth': 5, 'n_estimators': 7}",0.17784429704158633,0.03557005115280217,0.08691859771783314,0.0123446562496217
"{'max_depth': 5, 'n_estimators': 8}",0.19809640700213232,0.04559989975343707,0.0919018511514755,0.013374595208913534
"{'max_depth': 5, 'n_estimators': 9}",0.2189950182373796,0.04721372990480454,0.09688391205241692,0.013376917673682985
"{'max_depth': 5, 'n_estimators': 10}",0.23301993556267747,0.04860856822843931,0.10149748034876471,0.013755808602729843
"{'max_depth': 10, 'n_estimators': 1}",0.02574264652681129,0.0027150133275491433,0.023436845171775817,0.00533869824022504
"{'max_depth': 10, 'n_estimators': 2}",0.06098878731001842,0.00871168835651955,0.046136194048921095,0.007712918321604413
"{'max_depth': 10, 'n_estimators': 3}",0.09960276774048017,0.010607724609740129,0.060714906318038254,0.00977231364701957
"{'max_depth': 10, 'n_estimators': 4}",0.12728285388390218,0.018510213939274458,0.06864899673927487,0.008601566339925905
"{'max_depth': 10, 'n_estimators': 5}",0.14605917252944156,0.023795618822016047,0.07547692789947288,0.010110118100432755
"{'max_depth': 10, 'n_estimators': 6}",0.1594377375434654,0.027593865676843445,0.08414987750985543,0.010793215504981071
"{'max_depth': 10, 'n_estimators': 7}",0.1764139821329009,0.03676461886073716,0.08950281608079239,0.013988037596792497
"{'max_depth': 10, 'n_estimators': 8}",0.1956052703260597,0.04359636308009035,0.09393086036123519,0.01287141577811628
"{'max_depth': 10, 'n_estimators': 9}",0.21627293504768957,0.05152247633930968,0.09688306024334481,0.01325419925221056
"{'max_depth': 10, 'n_estimators': 10}",0.2311745553441694,0.04970383256986346,0.1011267730405836,0.012866144483155746
"{'max_depth': 50, 'n_estimators': 1}",0.02574264652681129,0.0027150133275491433,0.023436845171775817,0.00533869824022504
"{'max_depth': 50, 'n_estimators': 2}",0.06098878731001842,0.00871168835651955,0.046136194048921095,0.007712918321604413
"{'max_depth': 50, 'n_estimators': 3}",0.09951049553748133,0.010576733639580858,0.0608994081630567,0.009782498024810687
"{'max_depth': 50, 'n_estimators': 4}",0.12728285388390218,0.018465312317577778,0.06864899673927485,0.008441781152987165
"{'max_depth': 50, 'n_estimators': 5}",0.14605916188919674,0.023674467127288462,0.07529225569264002,0.010245961861595215
"{'max_depth': 50, 'n_estimators': 6}",0.15962215426652535,0.028057483328258276,0.08267352202607899,0.010410276654106694
"{'max_depth': 50, 'n_estimators': 7}",0.177152255519095,0.036354976863318296,0.08821062171840555,0.013708707224357913
"{'max_depth': 50, 'n_estimators': 8}",0.1961127568023085,0.043877328958251284,0.09134732344553363,0.013282007297529576
"{'max_depth': 50, 'n_estimators': 9}",0.21618068412518038,0.051287985956847866,0.09725155284793845,0.013435571134770515
"{'max_depth': 50, 'n_estimators': 10}",0.2307131836889303,0.050415208892133266,0.1011267730405836,0.013723887842285483
"{'max_depth': 100, 'n_estimators': 1}",0.02574264652681129,0.0027150133275491433,0.023436845171775817,0.00533869824022504
"{'max_depth': 100, 'n_estimators': 2}",0.06098878731001842,0.00871168835651955,0.046136194048921095,0.007712918321604413
"{'max_depth': 100, 'n_estimators': 3}",0.09951049553748133,0.010576733639580858,0.0608994081630567,0.009782498024810687
"{'max_depth': 100, 'n_estimators': 4}",0.12728285388390218,0.018465312317577778,0.06864899673927485,0.008441781152987165
"{'max_depth': 100, 'n_estimators': 5}",0.14605916188919674,0.023674467127288462,0.07529225569264002,0.010245961861595215
"{'max_depth': 100, 'n_estimators': 6}",0.15962215426652535,0.028057483328258276,0.08267352202607899,0.010410276654106694
"{'max_depth': 100, 'n_estimators': 7}",0.177152255519095,0.036354976863318296,0.08821062171840555,0.013708707224357913
"{'max_depth': 100, 'n_estimators': 8}",0.1961127568023085,0.043877328958251284,0.09134732344553363,0.013282007297529576
