params,train_mean,train_std,test_mean,test_std
"{'max_depth': 5, 'n_estimators': 1}",0.05397576465240237,0.007001732640946915,0.04776862473374907,0.007745507239447226
"{'max_depth': 5, 'n_estimators': 2}",0.1356565515212828,0.014803718197781505,0.08980447843331822,0.006507384901834783
"{'max_depth': 5, 'n_estimators': 3}",0.21214407508590222,0.0178403410992178,0.10938800067293408,0.007528242044748321
"{'max_depth': 5, 'n_estimators': 4}",0.267791107169438,0.01747937059706816,0.12969179048938845,0.009391602617879996
"{'max_depth': 5, 'n_estimators': 5}",0.2982405975497252,0.03411740164772658,0.14091952449793702,0.015297218576913624
"{'max_depth': 5, 'n_estimators': 6}",0.32946850697245333,0.03369352807846608,0.1545327527851202,0.016303130538942563
"{'max_depth': 5, 'n_estimators': 7}",0.35544093803897797,0.03803471544975826,0.16026609410241716,0.016245705853706056
"{'max_depth': 5, 'n_estimators': 8}",0.3738308160600402,0.04329482452469961,0.17005699979754949,0.01662549541121293
"{'max_depth': 5, 'n_estimators': 9}",0.3971168225756853,0.043602658425421915,0.17554911135633283,0.013644096377283086
"{'max_depth': 5, 'n_estimators': 10}",0.42440286474465533,0.050588373017815526,0.18319004970017366,0.011820482610664018
"{'max_depth': 10, 'n_estimators': 1}",0.05397576465240237,0.007001732640946915,0.04776862473374907,0.007745507239447226
"{'max_depth': 10, 'n_estimators': 2}",0.136074461969044,0.015274697846724195,0.08980476357487674,0.006935059710361311
"{'max_depth': 10, 'n_estimators': 3}",0.21339818078909722,0.01618136408220653,0.10700051040338976,0.00714923269593392
"{'max_depth': 10, 'n_estimators': 4}",0.2661786142443946,0.02082129266401691,0.12658602863391533,0.009142078359620671
"{'max_depth': 10, 'n_estimators': 5}",0.29722540477665416,0.03458272051239168,0.13685796813828227,0.014567904270703261
"{'max_depth': 10, 'n_estimators': 6}",0.3300054816987027,0.03436868551098499,0.1485616034080119,0.0139225702944986
"{'max_depth': 10, 'n_estimators': 7}",0.3532910425477866,0.041226733144182896,0.15381790289789365,0.01748084054555467
"{'max_depth': 10, 'n_estimators': 8}",0.3706665656489128,0.03720740372416777,0.1605044724453455,0.018077617579561858
"{'max_depth': 10, 'n_estimators': 9}",0.39968430763471385,0.04974733552945943,0.172686575250283,0.019282117886580324
"{'max_depth': 10, 'n_estimators': 10}",0.41741659573140566,0.05390357756022012,0.17698479910351494,0.018350623415099118
