params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.02793115874752449,0.004383487382355794,0.026198462242272395,0.0028457822490847817
"{'max_leaves': 10, 'n_estimators': 2}",0.08584871150712034,0.010287387577950391,0.07084380711994387,0.010423322102346743
"{'max_leaves': 10, 'n_estimators': 3}",0.14479491059707836,0.01330712171979568,0.10174006884926234,0.008072679550487908
"{'max_leaves': 10, 'n_estimators': 4}",0.19213973731320882,0.01513762104249692,0.1252365874005436,0.010594905419093067
"{'max_leaves': 10, 'n_estimators': 5}",0.20685401480160684,0.018494722745310964,0.13322601367739104,0.010083106894763046
"{'max_leaves': 10, 'n_estimators': 6}",0.21889577347421105,0.019524622124433073,0.14004007581836989,0.010959773011124031
"{'max_leaves': 10, 'n_estimators': 7}",0.2360479403501757,0.021477603615388665,0.14732396620879862,0.012177420549117888
"{'max_leaves': 10, 'n_estimators': 8}",0.2527008069349347,0.021862628967023276,0.15625208296964024,0.011470912081922118
"{'max_leaves': 10, 'n_estimators': 9}",0.27490464917621127,0.02222640152934651,0.1669435909396082,0.013988778863777081
"{'max_leaves': 10, 'n_estimators': 10}",0.2896776551894584,0.026163501293645985,0.17387502389161863,0.013415003203525285
"{'max_leaves': 10, 'n_estimators': 11}",0.30744639393874695,0.030090399913185985,0.18209898478733527,0.014199458634115572
"{'max_leaves': 10, 'n_estimators': 12}",0.3254209024981836,0.03316233203281862,0.19231976749401244,0.01654937505236322
"{'max_leaves': 10, 'n_estimators': 13}",0.34962143694673775,0.04278594305191304,0.19901687283034777,0.018144029416542848
"{'max_leaves': 10, 'n_estimators': 14}",0.36791890494764967,0.045517575425983274,0.2044209672155241,0.01832536751970847
"{'max_leaves': 10, 'n_estimators': 15}",0.38700929861121447,0.052732187124311145,0.21006001022595777,0.020578983951325434
"{'max_leaves': 10, 'n_estimators': 16}",0.3964083987483958,0.04534354768152052,0.21546293159303448,0.020235087538934736
"{'max_leaves': 10, 'n_estimators': 17}",0.40078482116072944,0.04365009277675414,0.21875172933918371,0.020962320212635412
"{'max_leaves': 10, 'n_estimators': 18}",0.4065708618786269,0.03921704061041025,0.22180654447498122,0.01959890708351402
"{'max_leaves': 10, 'n_estimators': 19}",0.4253964811624245,0.04586889725031444,0.22721063886015763,0.022621699336597058
"{'max_leaves': 50, 'n_estimators': 1}",0.02793115874752449,0.004383487382355794,0.026198462242272395,0.0028457822490847817
"{'max_leaves': 50, 'n_estimators': 2}",0.08617170545419177,0.011098272862055666,0.06978677981001247,0.01128223231184092
"{'max_leaves': 50, 'n_estimators': 3}",0.14544104082680587,0.012491259909497886,0.10315010560612951,0.00867896609319929
"{'max_leaves': 50, 'n_estimators': 4}",0.19278581578454188,0.016268445854395033,0.12711700441537813,0.010055905040377046
"{'max_leaves': 50, 'n_estimators': 5}",0.20700097844931423,0.017918210742003598,0.13334310848416392,0.009194621834064028
"{'max_leaves': 50, 'n_estimators': 6}",0.21948323987708243,0.0186948814528696,0.14027481744043307,0.010400093835688046
"{'max_leaves': 50, 'n_estimators': 7}",0.23340458307642836,0.02260196143735537,0.14661925833515613,0.013223458879145734
"{'max_leaves': 50, 'n_estimators': 8}",0.2520252132391934,0.02442301468370235,0.15554778910238584,0.014827607894885733
"{'max_leaves': 50, 'n_estimators': 9}",0.27020505166242575,0.02962755449462646,0.16236164424017063,0.01437109652281787
"{'max_leaves': 50, 'n_estimators': 10}",0.2885317890353723,0.034405333734108874,0.17211328870804474,0.016620787764110516
