params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.028418465932064162,0.0026592482258061476,0.023805337776369454,0.0014794891665892648
"{'max_leaves': 10, 'n_estimators': 2}",0.05923580697744694,0.008346824317588162,0.041153451700721995,0.007589073444751338
"{'max_leaves': 10, 'n_estimators': 3}",0.09028344548151364,0.015215966548052457,0.0551795102438559,0.011563463554161877
"{'max_leaves': 10, 'n_estimators': 4}",0.12082407632034797,0.018002552188352564,0.06551433935391986,0.011944386983438205
"{'max_leaves': 10, 'n_estimators': 5}",0.14107671829313448,0.022114449704400508,0.07621817215402071,0.015051495025549344
"{'max_leaves': 10, 'n_estimators': 6}",0.15288704954523596,0.02506644309332944,0.08009356270848027,0.015442398799769576
"{'max_leaves': 10, 'n_estimators': 7}",0.16469708287048268,0.02967575837289634,0.08562929950629147,0.015572860291906816
"{'max_leaves': 10, 'n_estimators': 8}",0.18421100456679307,0.034110802325019285,0.09245740102830391,0.016469682486776084
"{'max_leaves': 10, 'n_estimators': 9}",0.20566282341024103,0.04294045130560552,0.09614794901411619,0.016827077134117525
"{'max_leaves': 10, 'n_estimators': 10}",0.22383922377286058,0.05124603019974749,0.0978082952574678,0.01572091989424793
"{'max_leaves': 10, 'n_estimators': 11}",0.23532680447911747,0.04935039770713098,0.10334369133165015,0.012022174482658578
"{'max_leaves': 10, 'n_estimators': 12}",0.24372314934222006,0.05079776137710032,0.10666472454198225,0.011050765303433801
"{'max_leaves': 10, 'n_estimators': 13}",0.2612075826640619,0.05714465877659191,0.1099859281141288,0.010226751588957755
"{'max_leaves': 10, 'n_estimators': 14}",0.28256751235332417,0.062147253375808474,0.11330679096264647,0.009981168939885446
"{'max_leaves': 50, 'n_estimators': 1}",0.028418465932064162,0.0026592482258061476,0.023805337776369454,0.0014794891665892648
"{'max_leaves': 50, 'n_estimators': 2}",0.05923580697744694,0.008346824317588162,0.041153451700721995,0.007589073444751338
"{'max_leaves': 50, 'n_estimators': 3}",0.09028344548151364,0.015215966548052457,0.0551795102438559,0.011563463554161877
"{'max_leaves': 50, 'n_estimators': 4}",0.12082407632034797,0.018002552188352564,0.06551433935391986,0.011944386983438205
"{'max_leaves': 50, 'n_estimators': 5}",0.14107671829313448,0.022114449704400508,0.07621817215402071,0.015051495025549344
"{'max_leaves': 50, 'n_estimators': 6}",0.15288704954523596,0.02506644309332944,0.08009356270848027,0.015442398799769576
"{'max_leaves': 50, 'n_estimators': 7}",0.16469708287048268,0.02967575837289634,0.08562929950629147,0.015572860291906816
"{'max_leaves': 50, 'n_estimators': 8}",0.18421100456679307,0.034110802325019285,0.09245740102830391,0.016469682486776084
"{'max_leaves': 50, 'n_estimators': 9}",0.20566282341024103,0.04294045130560552,0.09614794901411619,0.016827077134117525
"{'max_leaves': 50, 'n_estimators': 10}",0.22383922377286058,0.05124603019974749,0.0978082952574678,0.01572091989424793
"{'max_leaves': 50, 'n_estimators': 11}",0.23532680447911747,0.04935039770713098,0.10334369133165015,0.012022174482658578
"{'max_leaves': 50, 'n_estimators': 12}",0.24372314934222006,0.05079776137710032,0.10666472454198225,0.011050765303433801
"{'max_leaves': 50, 'n_estimators': 13}",0.2612075826640619,0.05714465877659191,0.1099859281141288,0.010226751588957755
"{'max_leaves': 50, 'n_estimators': 14}",0.28256751235332417,0.062147253375808474,0.11330679096264647,0.009981168939885446
"{'max_leaves': 100, 'n_estimators': 1}",0.028418465932064162,0.0026592482258061476,0.023805337776369454,0.0014794891665892648
"{'max_leaves': 100, 'n_estimators': 2}",0.05923580697744694,0.008346824317588162,0.041153451700721995,0.007589073444751338
"{'max_leaves': 100, 'n_estimators': 3}",0.09028344548151364,0.015215966548052457,0.0551795102438559,0.011563463554161877
"{'max_leaves': 100, 'n_estimators': 4}",0.12082407632034797,0.018002552188352564,0.06551433935391986,0.011944386983438205
"{'max_leaves': 100, 'n_estimators': 5}",0.14107671829313448,0.022114449704400508,0.07621817215402071,0.015051495025549344
"{'max_leaves': 100, 'n_estimators': 6}",0.15288704954523596,0.02506644309332944,0.08009356270848027,0.015442398799769576
"{'max_leaves': 100, 'n_estimators': 7}",0.16469708287048268,0.02967575837289634,0.08562929950629147,0.015572860291906816
"{'max_leaves': 100, 'n_estimators': 8}",0.18421100456679307,0.034110802325019285,0.09245740102830391,0.016469682486776084
"{'max_leaves': 100, 'n_estimators': 9}",0.20566282341024103,0.04294045130560552,0.09614794901411619,0.016827077134117525
"{'max_leaves': 100, 'n_estimators': 10}",0.22383922377286058,0.05124603019974749,0.0978082952574678,0.01572091989424793
"{'max_leaves': 100, 'n_estimators': 11}",0.23532680447911747,0.04935039770713098,0.10334369133165015,0.012022174482658578
"{'max_leaves': 100, 'n_estimators': 12}",0.24372314934222006,0.05079776137710032,0.10666472454198225,0.011050765303433801
"{'max_leaves': 100, 'n_estimators': 13}",0.2612075826640619,0.05714465877659191,0.1099859281141288,0.010226751588957755
"{'max_leaves': 100, 'n_estimators': 14}",0.28256751235332417,0.062147253375808474,0.11330679096264647,0.009981168939885446
"{'max_leaves': 500, 'n_estimators': 1}",0.028418465932064162,0.0026592482258061476,0.023805337776369454,0.0014794891665892648
"{'max_leaves': 500, 'n_estimators': 2}",0.05923580697744694,0.008346824317588162,0.041153451700721995,0.007589073444751338
"{'max_leaves': 500, 'n_estimators': 3}",0.09028344548151364,0.015215966548052457,0.0551795102438559,0.011563463554161877
"{'max_leaves': 500, 'n_estimators': 4}",0.12082407632034797,0.018002552188352564,0.06551433935391986,0.011944386983438205
"{'max_leaves': 500, 'n_estimators': 5}",0.14107671829313448,0.022114449704400508,0.07621817215402071,0.015051495025549344
"{'max_leaves': 500, 'n_estimators': 6}",0.15288704954523596,0.02506644309332944,0.08009356270848027,0.015442398799769576
"{'max_leaves': 500, 'n_estimators': 7}",0.16469708287048268,0.02967575837289634,0.08562929950629147,0.015572860291906816
"{'max_leaves': 500, 'n_estimators': 8}",0.18421100456679307,0.034110802325019285,0.09245740102830391,0.016469682486776084
"{'max_leaves': 500, 'n_estimators': 9}",0.20566282341024103,0.04294045130560552,0.09614794901411619,0.016827077134117525
"{'max_leaves': 500, 'n_estimators': 10}",0.22383922377286058,0.05124603019974749,0.0978082952574678,0.01572091989424793
"{'max_leaves': 500, 'n_estimators': 11}",0.23532680447911747,0.04935039770713098,0.10334369133165015,0.012022174482658578
