params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.2503025464175054,0.004360056052069937,0.15860703812316718,0.016868658349092937
{'max_leaf_nodes': 200},0.3607758276327594,0.0069918766481589555,0.17676930596285434,0.021375773606792506
{'max_leaf_nodes': 300},0.4497585684168103,0.006345901344453291,0.18927337895079832,0.017451785320131072
{'max_leaf_nodes': 400},0.5201773093494502,0.005888213859425944,0.1925097751710655,0.021288494426230327
{'max_leaf_nodes': 500},0.5747576906225621,0.004757583544999905,0.19331133919843596,0.02747587365795104
{'max_leaf_nodes': 600},0.6252016000789761,0.004819510833110896,0.20662919517758227,0.023539361362729515
{'max_leaf_nodes': 700},0.6758473767691371,0.004656565737423313,0.2050130335614207,0.023562052889418924
{'max_leaf_nodes': 800},0.7259885108182417,0.004560805893737811,0.20703160638644508,0.022830569191318862
{'max_leaf_nodes': 900},0.7766342875084027,0.004762018759080976,0.2155042359074617,0.02392932898767943
{'max_leaf_nodes': 1000},0.8266745133839452,0.005117844562061712,0.2175260671228413,0.026236346384485004
