params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.028787629225773225,0.005031752852258567,0.025465854381535508,0.002376086520233018
"{'max_leaves': 10, 'n_estimators': 2}",0.059881669837459614,0.007312557279989183,0.04207442766948445,0.002234035507553685
"{'max_leaves': 10, 'n_estimators': 3}",0.08931516192324554,0.008227950410029529,0.05370145114193524,0.009112709269101746
"{'max_leaves': 10, 'n_estimators': 4}",0.12446898794247456,0.014488959623595242,0.07012552258486573,0.006307865197638486
"{'max_leaves': 10, 'n_estimators': 5}",0.14439878360721323,0.018858821419494434,0.07676861117641648,0.005127840393894122
"{'max_leaves': 10, 'n_estimators': 6}",0.15551694565388557,0.021511277127427078,0.08045898880041431,0.005155738532790803
"{'max_leaves': 10, 'n_estimators': 7}",0.1698641347140115,0.025503480738824528,0.08710275883922274,0.00923673547117513
"{'max_leaves': 10, 'n_estimators': 8}",0.18725594470477575,0.03025199016803139,0.09060880498001657,0.009593763533636012
"{'max_leaves': 10, 'n_estimators': 9}",0.2048786799286678,0.03698074910299005,0.09411502148262481,0.010004670045920988
"{'max_leaves': 10, 'n_estimators': 10}",0.22526950676081156,0.043104575113296455,0.09651337510605024,0.011287233554826633
"{'max_leaves': 10, 'n_estimators': 11}",0.23869475052882017,0.04360873620239097,0.10186461005884298,0.011958409454044906
"{'max_leaves': 10, 'n_estimators': 12}",0.24741405874266356,0.04457753893513105,0.10297162112895367,0.011521627540009034
"{'max_leaves': 10, 'n_estimators': 13}",0.2705733283111378,0.05260898924503315,0.10703083208117399,0.011999779143394913
"{'max_leaves': 10, 'n_estimators': 14}",0.2902261264827181,0.0598787140831011,0.10850701720313602,0.011336581435213522
"{'max_leaves': 50, 'n_estimators': 1}",0.028787629225773225,0.005031752852258567,0.025465854381535508,0.002376086520233018
"{'max_leaves': 50, 'n_estimators': 2}",0.059881669837459614,0.007312557279989183,0.04207442766948445,0.002234035507553685
"{'max_leaves': 50, 'n_estimators': 3}",0.08931516192324554,0.008227950410029529,0.05370145114193524,0.009112709269101746
"{'max_leaves': 50, 'n_estimators': 4}",0.12446898794247456,0.014488959623595242,0.07012552258486573,0.006307865197638486
"{'max_leaves': 50, 'n_estimators': 5}",0.14439878360721323,0.018858821419494434,0.07676861117641648,0.005127840393894122
"{'max_leaves': 50, 'n_estimators': 6}",0.15551694565388557,0.021511277127427078,0.08045898880041431,0.005155738532790803
"{'max_leaves': 50, 'n_estimators': 7}",0.1698641347140115,0.025503480738824528,0.08710275883922274,0.00923673547117513
"{'max_leaves': 50, 'n_estimators': 8}",0.18725594470477575,0.03025199016803139,0.09060880498001657,0.009593763533636012
"{'max_leaves': 50, 'n_estimators': 9}",0.2048786799286678,0.03698074910299005,0.09411502148262481,0.010004670045920988
"{'max_leaves': 50, 'n_estimators': 10}",0.22526950676081156,0.043104575113296455,0.09651337510605024,0.011287233554826633
"{'max_leaves': 50, 'n_estimators': 11}",0.23869475052882017,0.04360873620239097,0.10186461005884298,0.011958409454044906
"{'max_leaves': 50, 'n_estimators': 12}",0.24741405874266356,0.04457753893513105,0.10297162112895367,0.011521627540009034
"{'max_leaves': 50, 'n_estimators': 13}",0.2705733283111378,0.05260898924503315,0.10703083208117399,0.011999779143394913
"{'max_leaves': 50, 'n_estimators': 14}",0.2902261264827181,0.0598787140831011,0.10850701720313602,0.011336581435213522
"{'max_leaves': 100, 'n_estimators': 1}",0.028787629225773225,0.005031752852258567,0.025465854381535508,0.002376086520233018
"{'max_leaves': 100, 'n_estimators': 2}",0.059881669837459614,0.007312557279989183,0.04207442766948445,0.002234035507553685
"{'max_leaves': 100, 'n_estimators': 3}",0.08931516192324554,0.008227950410029529,0.05370145114193524,0.009112709269101746
"{'max_leaves': 100, 'n_estimators': 4}",0.12446898794247456,0.014488959623595242,0.07012552258486573,0.006307865197638486
