params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.1954234435121376,0.00274038099514334,0.150064194857028,0.012967542115253576
{'max_leaf_nodes': 200},0.28356662790064363,0.005493514098795359,0.1861105300075065,0.01238283521274861
{'max_leaf_nodes': 300},0.3499394545204066,0.0033361039180194703,0.20555111182210845,0.012475903417397724
{'max_leaf_nodes': 400},0.40816147169920136,0.004385112602040183,0.2203329518559082,0.011487327423715344
{'max_leaf_nodes': 500},0.45559971678376565,0.005719772802976542,0.23471321511635063,0.014587459583957437
{'max_leaf_nodes': 600},0.49534248980389517,0.004363132190981802,0.23795310699006106,0.016393761078363947
{'max_leaf_nodes': 700},0.5350851987479537,0.0043171608959150475,0.2428130473483217,0.012453501317895074
{'max_leaf_nodes': 800},0.5713347878601476,0.003290445157935258,0.2446369606503985,0.014249052748881531
{'max_leaf_nodes': 900},0.598926994928379,0.0031655640890916464,0.251927486473959,0.011773103789522382
{'max_leaf_nodes': 1000},0.6241396986502374,0.0038602384496269995,0.25131937864300685,0.012105972209198313
{'max_leaf_nodes': 1100},0.6492004011162051,0.0032040223137128035,0.2533436701409825,0.009968499180228001
{'max_leaf_nodes': 1200},0.674666166873312,0.0032116209347960575,0.25658458749164237,0.014053038773776057
{'max_leaf_nodes': 1300},0.7000306924380625,0.003520470474582153,0.25638113286489544,0.010718194036922288
{'max_leaf_nodes': 1400},0.7258508757597019,0.0034369737211557496,0.26083847097284946,0.015198428566886654
{'max_leaf_nodes': 1500},0.750304111441103,0.0037057915003855654,0.2618481555771589,0.012990206390729082
