params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.062096362023860985,0.007209091176770809,0.05684553596633048,0.007288782830058973
"{'max_leaves': 10, 'n_estimators': 2}",0.13219345494088236,0.013309302713334614,0.09004713389962447,0.011810086500023001
"{'max_leaves': 10, 'n_estimators': 3}",0.19023387689798246,0.05357966144245792,0.10054775693392985,0.031208223891930245
"{'max_leaves': 10, 'n_estimators': 4}",0.2637304786904534,0.018418618919433707,0.13208213217451809,0.011762674640903779
"{'max_leaves': 10, 'n_estimators': 5}",0.2889868483797792,0.029632765119354205,0.1366184492291198,0.016411374903531093
"{'max_leaves': 10, 'n_estimators': 6}",0.3182428793625186,0.031041340134094583,0.15095080452690737,0.013913156849527828
"{'max_leaves': 10, 'n_estimators': 7}",0.3446353244229732,0.033779221700462436,0.15763680379124215,0.013086079790940014
"{'max_leaves': 10, 'n_estimators': 8}",0.36947319538467704,0.04122095307862674,0.16456118139850529,0.011908484530856097
"{'max_leaves': 10, 'n_estimators': 9}",0.38672853112758093,0.04236091933470482,0.17053318620028915,0.011364664499311132
"{'max_leaves': 10, 'n_estimators': 10}",0.403026699883681,0.04990166041375335,0.17555367362126928,0.018424720780083677
"{'max_leaves': 10, 'n_estimators': 11}",0.4324044869709381,0.04339687707643859,0.18366880237694003,0.015649340735752023
"{'max_leaves': 10, 'n_estimators': 12}",0.4424360312501393,0.04197282889076363,0.19035594220750893,0.017132966682941928
"{'max_leaves': 10, 'n_estimators': 13}",0.4568256596979272,0.04000350215486963,0.19417626880865008,0.017467598038671445
"{'max_leaves': 10, 'n_estimators': 14}",0.4699612715758324,0.04075679511267066,0.19918991283222554,0.01826011690332415
"{'max_leaves': 50, 'n_estimators': 1}",0.062096362023860985,0.007209091176770809,0.05684553596633048,0.007288782830058973
"{'max_leaves': 50, 'n_estimators': 2}",0.13219345494088236,0.013309302713334614,0.09004713389962447,0.011810086500023001
"{'max_leaves': 50, 'n_estimators': 3}",0.19023387689798246,0.05357966144245792,0.10054775693392985,0.031208223891930245
"{'max_leaves': 50, 'n_estimators': 4}",0.2637304786904534,0.018418618919433707,0.13208213217451809,0.011762674640903779
"{'max_leaves': 50, 'n_estimators': 5}",0.2889868483797792,0.029632765119354205,0.1366184492291198,0.016411374903531093
"{'max_leaves': 50, 'n_estimators': 6}",0.3182428793625186,0.031041340134094583,0.15095080452690737,0.013913156849527828
"{'max_leaves': 50, 'n_estimators': 7}",0.3446353244229732,0.033779221700462436,0.15763680379124215,0.013086079790940014
"{'max_leaves': 50, 'n_estimators': 8}",0.36947319538467704,0.04122095307862674,0.16456118139850529,0.011908484530856097
"{'max_leaves': 50, 'n_estimators': 9}",0.38672853112758093,0.04236091933470482,0.17053318620028915,0.011364664499311132
"{'max_leaves': 50, 'n_estimators': 10}",0.403026699883681,0.04990166041375335,0.17555367362126928,0.018424720780083677
"{'max_leaves': 50, 'n_estimators': 11}",0.4324044869709381,0.04339687707643859,0.18366880237694003,0.015649340735752023
"{'max_leaves': 50, 'n_estimators': 12}",0.4424360312501393,0.04197282889076363,0.19035594220750893,0.017132966682941928
"{'max_leaves': 50, 'n_estimators': 13}",0.4568256596979272,0.04000350215486963,0.19417626880865008,0.017467598038671445
"{'max_leaves': 50, 'n_estimators': 14}",0.4699612715758324,0.04075679511267066,0.19918991283222554,0.01826011690332415
"{'max_leaves': 100, 'n_estimators': 1}",0.062096362023860985,0.007209091176770809,0.05684553596633048,0.007288782830058973
"{'max_leaves': 100, 'n_estimators': 2}",0.13219345494088236,0.013309302713334614,0.09004713389962447,0.011810086500023001
"{'max_leaves': 100, 'n_estimators': 3}",0.19023387689798246,0.05357966144245792,0.10054775693392985,0.031208223891930245
"{'max_leaves': 100, 'n_estimators': 4}",0.2637304786904534,0.018418618919433707,0.13208213217451809,0.011762674640903779
"{'max_leaves': 100, 'n_estimators': 5}",0.2889868483797792,0.029632765119354205,0.1366184492291198,0.016411374903531093
"{'max_leaves': 100, 'n_estimators': 6}",0.3182428793625186,0.031041340134094583,0.15095080452690737,0.013913156849527828
"{'max_leaves': 100, 'n_estimators': 7}",0.3446353244229732,0.033779221700462436,0.15763680379124215,0.013086079790940014
"{'max_leaves': 100, 'n_estimators': 8}",0.36947319538467704,0.04122095307862674,0.16456118139850529,0.011908484530856097
"{'max_leaves': 100, 'n_estimators': 9}",0.38672853112758093,0.04236091933470482,0.17053318620028915,0.011364664499311132
"{'max_leaves': 100, 'n_estimators': 10}",0.403026699883681,0.04990166041375335,0.17555367362126928,0.018424720780083677
"{'max_leaves': 100, 'n_estimators': 11}",0.4324044869709381,0.04339687707643859,0.18366880237694003,0.015649340735752023
"{'max_leaves': 100, 'n_estimators': 12}",0.4424360312501393,0.04197282889076363,0.19035594220750893,0.017132966682941928
"{'max_leaves': 100, 'n_estimators': 13}",0.4568256596979272,0.04000350215486963,0.19417626880865008,0.017467598038671445
"{'max_leaves': 100, 'n_estimators': 14}",0.4699612715758324,0.04075679511267066,0.19918991283222554,0.01826011690332415
"{'max_leaves': 500, 'n_estimators': 1}",0.062096362023860985,0.007209091176770809,0.05684553596633048,0.007288782830058973
"{'max_leaves': 500, 'n_estimators': 2}",0.13219345494088236,0.013309302713334614,0.09004713389962447,0.011810086500023001
"{'max_leaves': 500, 'n_estimators': 3}",0.19023387689798246,0.05357966144245792,0.10054775693392985,0.031208223891930245
"{'max_leaves': 500, 'n_estimators': 4}",0.2637304786904534,0.018418618919433707,0.13208213217451809,0.011762674640903779
"{'max_leaves': 500, 'n_estimators': 5}",0.2889868483797792,0.029632765119354205,0.1366184492291198,0.016411374903531093
"{'max_leaves': 500, 'n_estimators': 6}",0.3182428793625186,0.031041340134094583,0.15095080452690737,0.013913156849527828
"{'max_leaves': 500, 'n_estimators': 7}",0.3446353244229732,0.033779221700462436,0.15763680379124215,0.013086079790940014
"{'max_leaves': 500, 'n_estimators': 8}",0.36947319538467704,0.04122095307862674,0.16456118139850529,0.011908484530856097
"{'max_leaves': 500, 'n_estimators': 9}",0.38672853112758093,0.04236091933470482,0.17053318620028915,0.011364664499311132
"{'max_leaves': 500, 'n_estimators': 10}",0.403026699883681,0.04990166041375335,0.17555367362126928,0.018424720780083677
"{'max_leaves': 500, 'n_estimators': 11}",0.4324044869709381,0.04339687707643859,0.18366880237694003,0.015649340735752023
"{'max_leaves': 500, 'n_estimators': 12}",0.4424360312501393,0.04197282889076363,0.19035594220750893,0.017132966682941928
"{'max_leaves': 500, 'n_estimators': 13}",0.4568256596979272,0.04000350215486963,0.19417626880865008,0.017467598038671445
"{'max_leaves': 500, 'n_estimators': 14}",0.4699612715758324,0.04075679511267066,0.19918991283222554,0.01826011690332415
