params,train_mean,train_std,test_mean,test_std
{'n_clusters': 50},0.21889387906671592,0.004319183130173457,0.1870109257345342,0.014596611090255191
{'n_clusters': 100},0.295026782020248,0.008101355624230788,0.24462276686844825,0.007003444461933994
{'n_clusters': 150},0.34869480844382317,0.004963356677974432,0.2807160785471726,0.014529231589934383
{'n_clusters': 200},0.38575273003373434,0.0031391382129446832,0.30030857817805995,0.017343563380948654
{'n_clusters': 250},0.4192588664474224,0.004398276637197184,0.3160556621880998,0.020315490504507094
{'n_clusters': 300},0.44873235763787467,0.0031811592209731376,0.32604089768197253,0.011335451382106197
{'n_clusters': 350},0.4731180021432988,0.0059004091272016786,0.32872656134652295,0.011128672327860824
{'n_clusters': 400},0.49596726263150276,0.00704317037509363,0.3325682858408386,0.016229416795973322
{'n_clusters': 450},0.5197771374705942,0.004552799647134565,0.34332127565332937,0.010078337644293623
{'n_clusters': 500},0.5422424286542277,0.003996248668266223,0.3517739554111915,0.014265177388300718
{'n_clusters': 550},0.5622115047044762,0.005020448098658284,0.35292558688911857,0.017118929394279895
{'n_clusters': 600},0.5849648880481146,0.004476983314911572,0.3552258969437473,0.015234975911486388
