params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.059887335493330605,0.003399805908824726,0.04991887722659914,0.00603460862391915
"{'max_leaves': 10, 'n_estimators': 2}",0.13834479439173197,0.00410592152854353,0.09458059953864095,0.008379257556357721
"{'max_leaves': 10, 'n_estimators': 3}",0.21763734329249546,0.005931724150691779,0.11846348619772287,0.0060461287242473535
"{'max_leaves': 10, 'n_estimators': 4}",0.2678507195286631,0.01744510516288551,0.13351154680741256,0.006956297262168167
"{'max_leaves': 10, 'n_estimators': 5}",0.297763395622663,0.025466045213897257,0.1449776591588894,0.011233122959589507
"{'max_leaves': 10, 'n_estimators': 6}",0.32869174580962013,0.03156575714474306,0.15453161221888606,0.011495151169404246
"{'max_leaves': 10, 'n_estimators': 7}",0.35597867931171256,0.032647058975198644,0.16360595717744073,0.008008585245206718
"{'max_leaves': 10, 'n_estimators': 8}",0.3749648413649876,0.039697323610263006,0.16551840161047954,0.011845088769193681
"{'max_leaves': 10, 'n_estimators': 9}",0.40374452610046213,0.04264772147465189,0.17649977331246097,0.006625936679735576
"{'max_leaves': 10, 'n_estimators': 10}",0.42511997789493855,0.04552240889959472,0.18127589441778372,0.008760626246262936
"{'max_leaves': 10, 'n_estimators': 11}",0.43807730532170436,0.042305579456021175,0.18414156708097734,0.009474099409388079
"{'max_leaves': 10, 'n_estimators': 12}",0.449601369087676,0.03992147880182063,0.18987319754892315,0.007912738585868051
"{'max_leaves': 10, 'n_estimators': 13}",0.4610650004679499,0.0395796706707951,0.19369437957473987,0.00967427066185817
"{'max_leaves': 10, 'n_estimators': 14}",0.47557367536756356,0.04236347824483682,0.19584349150135588,0.00982935017529238
"{'max_leaves': 50, 'n_estimators': 1}",0.059887335493330605,0.003399805908824726,0.04991887722659914,0.00603460862391915
"{'max_leaves': 50, 'n_estimators': 2}",0.13834479439173197,0.00410592152854353,0.09458059953864095,0.008379257556357721
"{'max_leaves': 50, 'n_estimators': 3}",0.21763734329249546,0.005931724150691779,0.11846348619772287,0.0060461287242473535
"{'max_leaves': 50, 'n_estimators': 4}",0.2678507195286631,0.01744510516288551,0.13351154680741256,0.006956297262168167
"{'max_leaves': 50, 'n_estimators': 5}",0.297763395622663,0.025466045213897257,0.1449776591588894,0.011233122959589507
"{'max_leaves': 50, 'n_estimators': 6}",0.32869174580962013,0.03156575714474306,0.15453161221888606,0.011495151169404246
"{'max_leaves': 50, 'n_estimators': 7}",0.35597867931171256,0.032647058975198644,0.16360595717744073,0.008008585245206718
"{'max_leaves': 50, 'n_estimators': 8}",0.3749648413649876,0.039697323610263006,0.16551840161047954,0.011845088769193681
"{'max_leaves': 50, 'n_estimators': 9}",0.40374452610046213,0.04264772147465189,0.17649977331246097,0.006625936679735576
"{'max_leaves': 50, 'n_estimators': 10}",0.42511997789493855,0.04552240889959472,0.18127589441778372,0.008760626246262936
"{'max_leaves': 50, 'n_estimators': 11}",0.43807730532170436,0.042305579456021175,0.18414156708097734,0.009474099409388079
"{'max_leaves': 50, 'n_estimators': 12}",0.449601369087676,0.03992147880182063,0.18987319754892315,0.007912738585868051
"{'max_leaves': 50, 'n_estimators': 13}",0.4610650004679499,0.0395796706707951,0.19369437957473987,0.00967427066185817
"{'max_leaves': 50, 'n_estimators': 14}",0.47557367536756356,0.04236347824483682,0.19584349150135588,0.00982935017529238
"{'max_leaves': 100, 'n_estimators': 1}",0.059887335493330605,0.003399805908824726,0.04991887722659914,0.00603460862391915
"{'max_leaves': 100, 'n_estimators': 2}",0.13834479439173197,0.00410592152854353,0.09458059953864095,0.008379257556357721
"{'max_leaves': 100, 'n_estimators': 3}",0.21763734329249546,0.005931724150691779,0.11846348619772287,0.0060461287242473535
"{'max_leaves': 100, 'n_estimators': 4}",0.2678507195286631,0.01744510516288551,0.13351154680741256,0.006956297262168167
"{'max_leaves': 100, 'n_estimators': 5}",0.297763395622663,0.025466045213897257,0.1449776591588894,0.011233122959589507
"{'max_leaves': 100, 'n_estimators': 6}",0.32869174580962013,0.03156575714474306,0.15453161221888606,0.011495151169404246
"{'max_leaves': 100, 'n_estimators': 7}",0.35597867931171256,0.032647058975198644,0.16360595717744073,0.008008585245206718
"{'max_leaves': 100, 'n_estimators': 8}",0.3749648413649876,0.039697323610263006,0.16551840161047954,0.011845088769193681
"{'max_leaves': 100, 'n_estimators': 9}",0.40374452610046213,0.04264772147465189,0.17649977331246097,0.006625936679735576
"{'max_leaves': 100, 'n_estimators': 10}",0.42511997789493855,0.04552240889959472,0.18127589441778372,0.008760626246262936
"{'max_leaves': 100, 'n_estimators': 11}",0.43807730532170436,0.042305579456021175,0.18414156708097734,0.009474099409388079
"{'max_leaves': 100, 'n_estimators': 12}",0.449601369087676,0.03992147880182063,0.18987319754892315,0.007912738585868051
"{'max_leaves': 100, 'n_estimators': 13}",0.4610650004679499,0.0395796706707951,0.19369437957473987,0.00967427066185817
"{'max_leaves': 100, 'n_estimators': 14}",0.47557367536756356,0.04236347824483682,0.19584349150135588,0.00982935017529238
"{'max_leaves': 500, 'n_estimators': 1}",0.059887335493330605,0.003399805908824726,0.04991887722659914,0.00603460862391915
"{'max_leaves': 500, 'n_estimators': 2}",0.13834479439173197,0.00410592152854353,0.09458059953864095,0.008379257556357721
"{'max_leaves': 500, 'n_estimators': 3}",0.21763734329249546,0.005931724150691779,0.11846348619772287,0.0060461287242473535
"{'max_leaves': 500, 'n_estimators': 4}",0.2678507195286631,0.01744510516288551,0.13351154680741256,0.006956297262168167
"{'max_leaves': 500, 'n_estimators': 5}",0.297763395622663,0.025466045213897257,0.1449776591588894,0.011233122959589507
"{'max_leaves': 500, 'n_estimators': 6}",0.32869174580962013,0.03156575714474306,0.15453161221888606,0.011495151169404246
"{'max_leaves': 500, 'n_estimators': 7}",0.35597867931171256,0.032647058975198644,0.16360595717744073,0.008008585245206718
"{'max_leaves': 500, 'n_estimators': 8}",0.3749648413649876,0.039697323610263006,0.16551840161047954,0.011845088769193681
"{'max_leaves': 500, 'n_estimators': 9}",0.40374452610046213,0.04264772147465189,0.17649977331246097,0.006625936679735576
"{'max_leaves': 500, 'n_estimators': 10}",0.42511997789493855,0.04552240889959472,0.18127589441778372,0.008760626246262936
"{'max_leaves': 500, 'n_estimators': 11}",0.43807730532170436,0.042305579456021175,0.18414156708097734,0.009474099409388079
"{'max_leaves': 500, 'n_estimators': 12}",0.449601369087676,0.03992147880182063,0.18987319754892315,0.007912738585868051
"{'max_leaves': 500, 'n_estimators': 13}",0.4610650004679499,0.0395796706707951,0.19369437957473987,0.00967427066185817
"{'max_leaves': 500, 'n_estimators': 14}",0.47557367536756356,0.04236347824483682,0.19584349150135588,0.00982935017529238
