params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.23829798494061277,0.004479018314031481,0.14771016617790814,0.015498319819281929
{'max_leaf_nodes': 200},0.3440280731322192,0.006895081185932114,0.17798305637015316,0.02301878943773159
{'max_leaf_nodes': 300},0.4313976061914772,0.008621104254486246,0.20178804170739656,0.016255220894776157
{'max_leaf_nodes': 400},0.5009089368614046,0.0066853813552042686,0.2026001955034213,0.020464744132856275
{'max_leaf_nodes': 500},0.5517562754655744,0.00536830101408778,0.20985744542196155,0.016384211198695587
{'max_leaf_nodes': 600},0.6020993276350494,0.00554892336018525,0.21187683284457476,0.018908065408027867
{'max_leaf_nodes': 700},0.6526439926051559,0.005675438124493757,0.22277614858260017,0.018628657334228683
{'max_leaf_nodes': 800},0.7031888102351318,0.005349124048200139,0.2211599869664386,0.01700433031816418
{'max_leaf_nodes': 900},0.7538344851520467,0.004914532140430252,0.22802378624959269,0.022466865636039147
{'max_leaf_nodes': 1000},0.8036730473403344,0.005228093987789626,0.22560361681329422,0.02212976137410615
