params,train_mean,train_std,test_mean,test_std
"{'max_depth': 5, 'n_estimators': 1}",0.02514307937197019,0.004803791280034058,0.022883169274906044,0.004424689388187859
"{'max_depth': 5, 'n_estimators': 2}",0.05536036381125057,0.010113771449299612,0.04078495909612836,0.006982059468838086
"{'max_depth': 5, 'n_estimators': 3}",0.08165657971458606,0.01848448218194408,0.048904403171455536,0.010724424963367094
"{'max_depth': 5, 'n_estimators': 4}",0.1144114135778036,0.017765413120064112,0.06145393586899859,0.012045601990281424
"{'max_depth': 5, 'n_estimators': 5}",0.12991238822422826,0.022231221787814063,0.06865018927197583,0.011418229555808658
"{'max_depth': 5, 'n_estimators': 6}",0.14541334159016328,0.025542872189313885,0.07437059827661988,0.011755652584904411
"{'max_depth': 5, 'n_estimators': 7}",0.15976053065028922,0.027800667702472772,0.08138320164365079,0.012822978693105865
"{'max_depth': 5, 'n_estimators': 8}",0.17604513804653618,0.03577305983579994,0.08931848459758836,0.014924558324079093
"{'max_depth': 5, 'n_estimators': 9}",0.196297311848551,0.043020285288232187,0.09337786591162311,0.01663702963437744
"{'max_depth': 5, 'n_estimators': 10}",0.21382830688168478,0.048759588254119586,0.09669906948376963,0.014665784337714474
"{'max_depth': 10, 'n_estimators': 1}",0.02514307937197019,0.004803791280034058,0.022883169274906044,0.004424689388187859
"{'max_depth': 10, 'n_estimators': 2}",0.05642145158475805,0.010524866662621925,0.04152347756164543,0.007913699745370532
"{'max_depth': 10, 'n_estimators': 3}",0.08161030528990411,0.01871392159996397,0.05038126974067525,0.011723615920333193
"{'max_depth': 10, 'n_estimators': 4}",0.1156110586192367,0.016106781979276483,0.06477496907933068,0.010770107196000784
"{'max_depth': 10, 'n_estimators': 5}",0.1300969113497363,0.022379792746947794,0.07049605953123243,0.013835676849046352
"{'max_depth': 10, 'n_estimators': 6}",0.1452288610256345,0.02391341300273072,0.075847635207654,0.014030250714558583
"{'max_depth': 10, 'n_estimators': 7}",0.1604525189715565,0.028301279504300603,0.0824919163319057,0.018089866175096527
"{'max_depth': 10, 'n_estimators': 8}",0.17493787161055002,0.03654337965299631,0.08839682718156822,0.0185246316410228
"{'max_depth': 10, 'n_estimators': 9}",0.1951440689147376,0.0418371910153344,0.0937484028579898,0.018573794373696332
"{'max_depth': 10, 'n_estimators': 10}",0.21345918614895493,0.0484702164407743,0.09872978231167354,0.01619084260197414
"{'max_depth': 50, 'n_estimators': 1}",0.02514307937197019,0.004803791280034058,0.022883169274906044,0.004424689388187859
"{'max_depth': 50, 'n_estimators': 2}",0.05642145158475805,0.010524866662621925,0.04152347756164543,0.007913699745370532
"{'max_depth': 50, 'n_estimators': 3}",0.08165644139140352,0.018746661355653945,0.0505657715856937,0.011836124223457976
"{'max_depth': 50, 'n_estimators': 4}",0.11551878641623788,0.016143707709747015,0.06514397276936759,0.01113021862329922
"{'max_depth': 50, 'n_estimators': 5}",0.13014306873172538,0.021662470330344095,0.07049605953123242,0.01422389017576082
"{'max_depth': 50, 'n_estimators': 6}",0.14536725868988792,0.023801762622396794,0.07547829079398827,0.014064365528758649
"{'max_depth': 50, 'n_estimators': 7}",0.16036035317100578,0.027416490303006344,0.08322958298835066,0.01774274060154264
"{'max_depth': 50, 'n_estimators': 8}",0.17535305396306558,0.036468491616505005,0.08876549014797627,0.019401489778708834
"{'max_depth': 50, 'n_estimators': 9}",0.1936677030265112,0.04279484095777152,0.09153335854688185,0.018502781303831768
"{'max_depth': 50, 'n_estimators': 10}",0.21332075656396704,0.047678779621988306,0.09836060825982221,0.01594204297485911
"{'max_depth': 100, 'n_estimators': 1}",0.02514307937197019,0.004803791280034058,0.022883169274906044,0.004424689388187859
"{'max_depth': 100, 'n_estimators': 2}",0.05642145158475805,0.010524866662621925,0.04152347756164543,0.007913699745370532
"{'max_depth': 100, 'n_estimators': 3}",0.08165644139140352,0.018746661355653945,0.0505657715856937,0.011836124223457976
"{'max_depth': 100, 'n_estimators': 4}",0.11551878641623788,0.016143707709747015,0.06514397276936759,0.01113021862329922
"{'max_depth': 100, 'n_estimators': 5}",0.13014306873172538,0.021662470330344095,0.07049605953123242,0.01422389017576082
"{'max_depth': 100, 'n_estimators': 6}",0.14536725868988792,0.023801762622396794,0.07547829079398827,0.014064365528758649
"{'max_depth': 100, 'n_estimators': 7}",0.16036035317100578,0.027416490303006344,0.08322958298835066,0.01774274060154264
"{'max_depth': 100, 'n_estimators': 8}",0.17535305396306558,0.036468491616505005,0.08876549014797627,0.019401489778708834
"{'max_depth': 100, 'n_estimators': 9}",0.1936677030265112,0.04279484095777152,0.09153335854688185,0.018502781303831768
"{'max_depth': 100, 'n_estimators': 10}",0.21332075656396704,0.047678779621988306,0.09836060825982221,0.01594204297485911
"{'max_depth': 200, 'n_estimators': 1}",0.02514307937197019,0.004803791280034058,0.022883169274906044,0.004424689388187859
"{'max_depth': 200, 'n_estimators': 2}",0.05642145158475805,0.010524866662621925,0.04152347756164543,0.007913699745370532
"{'max_depth': 200, 'n_estimators': 3}",0.08165644139140352,0.018746661355653945,0.0505657715856937,0.011836124223457976
"{'max_depth': 200, 'n_estimators': 4}",0.11551878641623788,0.016143707709747015,0.06514397276936759,0.01113021862329922
"{'max_depth': 200, 'n_estimators': 5}",0.13014306873172538,0.021662470330344095,0.07049605953123242,0.01422389017576082
"{'max_depth': 200, 'n_estimators': 6}",0.14536725868988792,0.023801762622396794,0.07547829079398827,0.014064365528758649
"{'max_depth': 200, 'n_estimators': 7}",0.16036035317100578,0.027416490303006344,0.08322958298835066,0.01774274060154264
"{'max_depth': 200, 'n_estimators': 8}",0.17535305396306558,0.036468491616505005,0.08876549014797627,0.019401489778708834
"{'max_depth': 200, 'n_estimators': 9}",0.1936677030265112,0.04279484095777152,0.09153335854688185,0.018502781303831768
"{'max_depth': 200, 'n_estimators': 10}",0.21332075656396704,0.047678779621988306,0.09836060825982221,0.01594204297485911
