params,train_mean,train_std,test_mean,test_std
"{'max_depth': 5, 'n_estimators': 1}",0.05582677832099579,0.006698731030056467,0.04585988714097114,0.00858234112754351
"{'max_depth': 5, 'n_estimators': 2}",0.11905864526278728,0.004912735848413155,0.08598244098282593,0.007762260157600603
"{'max_depth': 5, 'n_estimators': 3}",0.16318428757971862,0.04501728630754643,0.0972073235757892,0.02545822037102723
"{'max_depth': 5, 'n_estimators': 4}",0.2229523448746117,0.030276283888449045,0.1275386865809531,0.011653224072833748
"{'max_depth': 5, 'n_estimators': 5}",0.2548939269017706,0.020409487354922172,0.13423038867645842,0.013992239407181282
"{'max_depth': 5, 'n_estimators': 6}",0.29059884215827403,0.026397535745384337,0.1535729662991192,0.01083812403919395
"{'max_depth': 5, 'n_estimators': 7}",0.30881050703484664,0.024544115487693148,0.15954326025155185,0.010208778059762556
"{'max_depth': 5, 'n_estimators': 8}",0.32970847167566164,0.026487294178542075,0.16790389588911417,0.01440367249020201
"{'max_depth': 5, 'n_estimators': 9}",0.35735347151967845,0.023149259316569793,0.17459189114435864,0.01448838149973694
"{'max_depth': 5, 'n_estimators': 10}",0.38690783169847986,0.02944011500025853,0.18295081593256973,0.012359800523034007
"{'max_depth': 10, 'n_estimators': 1}",0.05582677832099579,0.006698731030056467,0.04585988714097114,0.00858234112754351
"{'max_depth': 10, 'n_estimators': 2}",0.12049173065695709,0.005162851501256143,0.08693709492077342,0.007079347839409137
"{'max_depth': 10, 'n_estimators': 3}",0.16372172579919156,0.04568202104283017,0.09529687513366011,0.026457479106170537
"{'max_depth': 10, 'n_estimators': 4}",0.22617611851165198,0.026727958105468103,0.12395816403053297,0.014250012706061016
"{'max_depth': 10, 'n_estimators': 5}",0.2558496855822411,0.018016816706889465,0.13542199524954163,0.01110146403156359
"{'max_depth': 10, 'n_estimators': 6}",0.2876733264106461,0.025765044776934996,0.14903778981075155,0.014052093776058613
"{'max_depth': 10, 'n_estimators': 7}",0.3129293930467103,0.03150186592585052,0.15859145772918964,0.017166746704166225
"{'max_depth': 10, 'n_estimators': 8}",0.32045219111964807,0.031503314236957514,0.15453446363447132,0.0201974166113631
"{'max_depth': 10, 'n_estimators': 9}",0.3581296444026508,0.022910089452798245,0.17005528894819835,0.015232459615294755
"{'max_depth': 10, 'n_estimators': 10}",0.3790265037903941,0.028235722281337687,0.17411627502473603,0.017602030460102166
"{'max_depth': 50, 'n_estimators': 1}",0.05582677832099579,0.006698731030056467,0.04585988714097114,0.00858234112754351
"{'max_depth': 50, 'n_estimators': 2}",0.12049173065695709,0.005162851501256143,0.0871757584052603,0.006897866544039811
"{'max_depth': 50, 'n_estimators': 3}",0.16354253218826736,0.04590273411402571,0.09601372101179631,0.026536233567295064
"{'max_depth': 50, 'n_estimators': 4}",0.2237879518501847,0.028343491804338896,0.12443663156574081,0.015262100198449962
"{'max_depth': 50, 'n_estimators': 5}",0.25740224526813527,0.017584246692827276,0.13637778975372322,0.011331443609378072
"{'max_depth': 50, 'n_estimators': 6}",0.2860607086989656,0.02760367994740798,0.1459340239461881,0.015709464356413076
"{'max_depth': 50, 'n_estimators': 7}",0.30875066292900977,0.024744272699299533,0.15357439200691186,0.012312145842695655
