params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.12161845573861418,0.0015218179466049825,0.1157734652103108,0.0053780333428873756
{'max_leaf_nodes': 200},0.18487951950846832,0.0021276737719392474,0.1746173017464509,0.006754101263212707
{'max_leaf_nodes': 300},0.23412786493232124,0.0018666373619912317,0.21977810401283898,0.007791730844722566
{'max_leaf_nodes': 400},0.27567945804866295,0.0023783072459086676,0.255084381309292,0.00912210308743273
{'max_leaf_nodes': 500},0.3095421232193506,0.0024028600036366744,0.28405124254483444,0.00831175913438685
{'max_leaf_nodes': 600},0.33841483408644124,0.0017023909479052604,0.31013081021245764,0.009476788493850844
{'max_leaf_nodes': 700},0.3639373681593335,0.0019179040827033175,0.33216192094138514,0.00868248023470976
{'max_leaf_nodes': 800},0.3872473898680442,0.002217362279635688,0.3507722176961047,0.009279887845025358
{'max_leaf_nodes': 900},0.4082114615568776,0.000940787051597746,0.3677820714330673,0.010662312001249312
{'max_leaf_nodes': 1000},0.4275514777114672,0.0011458121755205124,0.38391309992357314,0.010884769147707784
