params,train_mean,train_std,test_mean,test_std
"{'max_depth': 5, 'n_estimators': 1}",0.0716741566094018,0.006307663453773392,0.06704832310594566,0.004244293661146038
"{'max_depth': 5, 'n_estimators': 2}",0.07113564151929559,0.016367123097987532,0.06642834038533037,0.016196899344062474
"{'max_depth': 5, 'n_estimators': 3}",0.061131551983945286,0.015122842930081079,0.05509613187088591,0.012838008628731789
"{'max_depth': 5, 'n_estimators': 4}",0.06499741998175428,0.014004548909337215,0.059050662262483025,0.012047852965168979
"{'max_depth': 5, 'n_estimators': 5}",0.060733146425913376,0.024476371479562227,0.05471253353633541,0.02047739280071724
"{'max_depth': 5, 'n_estimators': 6}",0.08517521472469176,0.020640349703456306,0.07537071150825046,0.016270099504185474
"{'max_depth': 5, 'n_estimators': 7}",0.11610998511722004,0.03606562174151165,0.10269687454568469,0.030597574787184504
"{'max_depth': 5, 'n_estimators': 8}",0.13633227530241196,0.035382397377495385,0.12022600177740017,0.029608004796766757
"{'max_depth': 5, 'n_estimators': 9}",0.14862353894243602,0.0391856869017755,0.12910856600917836,0.03281885262236851
"{'max_depth': 5, 'n_estimators': 10}",0.15542579614256313,0.04308715307595773,0.13362366409252338,0.034480373623094404
"{'max_depth': 10, 'n_estimators': 1}",0.0716741566094018,0.006307663453773392,0.06704832310594566,0.004244293661146038
"{'max_depth': 10, 'n_estimators': 2}",0.07132746708287917,0.016206158023310508,0.06684146336525312,0.016277367430902395
"{'max_depth': 10, 'n_estimators': 3}",0.07047168015548726,0.016541022265032478,0.06380187913635123,0.013702678235730105
"{'max_depth': 10, 'n_estimators': 4}",0.07307624121972837,0.026732314796773817,0.06518786116911761,0.024601174271983203
"{'max_depth': 10, 'n_estimators': 5}",0.0722644960493816,0.014426632563803473,0.06365414270483283,0.01318416275066483
"{'max_depth': 10, 'n_estimators': 6}",0.08947660310539607,0.02434474552463373,0.07749473130286848,0.01891806360502095
"{'max_depth': 10, 'n_estimators': 7}",0.13055554507752282,0.030925399868662242,0.11284847169141213,0.024899233113731416
"{'max_depth': 10, 'n_estimators': 8}",0.15637017524490687,0.028164929902248177,0.13229555576367796,0.022523717963865167
"{'max_depth': 10, 'n_estimators': 9}",0.16852859267071246,0.027364527890965138,0.14082427706961737,0.020267566469332532
"{'max_depth': 10, 'n_estimators': 10}",0.17925578213090235,0.0323316183364801,0.14923466467670293,0.023696191779376128
"{'max_depth': 50, 'n_estimators': 1}",0.0716741566094018,0.006307663453773392,0.06704832310594566,0.004244293661146038
"{'max_depth': 50, 'n_estimators': 2}",0.07134959995388142,0.016195705355272875,0.06684146336525312,0.016277367430902395
"{'max_depth': 50, 'n_estimators': 3}",0.06535148794841442,0.014772876795215155,0.06034936785866381,0.012699052897922372
"{'max_depth': 50, 'n_estimators': 4}",0.062370973709102696,0.012441567209599755,0.05547989565839677,0.009866509459571987
"{'max_depth': 50, 'n_estimators': 5}",0.07115042207720298,0.01125138535234641,0.06365419059911083,0.010551441163459591
"{'max_depth': 50, 'n_estimators': 6}",0.09818956930838448,0.016663736242824054,0.08667289466441633,0.012902069774837396
"{'max_depth': 50, 'n_estimators': 7}",0.13422955947960874,0.019801608446480393,0.11577039709537748,0.016610348943365834
"{'max_depth': 50, 'n_estimators': 8}",0.15427468844821604,0.01892459409703523,0.1297880551931918,0.015431719921896344
