params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.19420839460607636,0.004753484439629884,0.16322414054776876,0.005815282908608242
{'max_leaf_nodes': 200},0.2785544053900791,0.00485777152126355,0.21162439650681533,0.006050056597375937
{'max_leaf_nodes': 300},0.34629426935658014,0.00229185387650594,0.23673730151893646,0.009871468331581026
{'max_leaf_nodes': 400},0.3978330882423613,0.0019222918077004586,0.2533434650455927,0.009585233652840294
{'max_leaf_nodes': 500},0.4416263275760984,0.0022760837122070255,0.2630635508575038,0.012298503215004879
{'max_leaf_nodes': 600},0.4822806339686476,0.00537392094452289,0.26954210403258555,0.007952527489001588
{'max_leaf_nodes': 700},0.5224283421277741,0.0029161917420703165,0.2744049157263043,0.009547392773049015
{'max_leaf_nodes': 800},0.5571590592351239,0.003776687453270425,0.2711623576125256,0.008086993473408965
{'max_leaf_nodes': 900},0.5858647674519191,0.0029844508215640633,0.27501138279413756,0.008457960211613207
{'max_leaf_nodes': 1000},0.6103180928398194,0.0025614370325290764,0.2768324247607562,0.011571613295396289
{'max_leaf_nodes': 1100},0.6361888193663517,0.0030423465819646982,0.2804810717464693,0.009420168977107292
{'max_leaf_nodes': 1200},0.6613002444502112,0.003196905908849051,0.28047861060179086,0.011424523710877686
{'max_leaf_nodes': 1300},0.6859560245923961,0.0033520834991614215,0.2867567855809737,0.009345789903015718
{'max_leaf_nodes': 1400},0.7113711958837532,0.0034412408668604627,0.28817255905721756,0.013340357851031394
{'max_leaf_nodes': 1500},0.7367356958180752,0.003519956846157103,0.2914134764078773,0.008237471485613724
