params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 100, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 100, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 100, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 100, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 200, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 200, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 200, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 200, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 300, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 300, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 300, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 300, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 400, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 400, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 400, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 400, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 500, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 500, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 500, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 500, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 600, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 600, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 600, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 600, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 700, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 700, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 700, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 700, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 800, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 800, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 800, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 800, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 900, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 900, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 900, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 900, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 1000, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 1000, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 1000, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 1000, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 1100, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 1100, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 1100, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 1100, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 1200, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
"{'max_leaves': 1200, 'n_estimators': 2}",0.04857858725031157,0.012979079987694186,0.0385335065720064,0.008005957284162193
"{'max_leaves': 1200, 'n_estimators': 3}",0.10582074472134466,0.014405706682354616,0.06696553327817847,0.012514059185669814
"{'max_leaves': 1200, 'n_estimators': 4}",0.13178191859310331,0.0462630858836797,0.07354920086416933,0.02876865028060964
"{'max_leaves': 1300, 'n_estimators': 1}",0.030750623958227523,0.0018853699353447296,0.025729324003469372,0.00431221178334846
