params,train_mean,train_std,test_mean,test_std
{'n_clusters': 50},0.04587464599163839,0.0014064226172652986,0.04161436513839527,0.002609525061592281
{'n_clusters': 100},0.07196993677163407,0.0005658173382385825,0.06534006606850995,0.0037224675085580287
{'n_clusters': 150},0.09166303164087357,0.003329120968362703,0.08175337358278104,0.006556764115528939
{'n_clusters': 200},0.11156006313732485,0.0011471402880181547,0.10033240121908682,0.007242260116950113
{'n_clusters': 250},0.1272752905415284,0.001620087534292281,0.11348203328365933,0.006634028814438427
{'n_clusters': 300},0.14207256105496796,0.0016094298671494448,0.1253449625494561,0.005948874459027439
{'n_clusters': 350},0.15701104157128207,0.0024006210067068585,0.13824355515839987,0.005639107389981356
{'n_clusters': 400},0.17001944080921344,0.0036782612025001464,0.14841183019740864,0.004817410013980202
{'n_clusters': 450},0.18144299619370127,0.0022373216707079883,0.16021206854994524,0.0067936406760481976
{'n_clusters': 500},0.19309407793927422,0.002274965279113657,0.16881110566401,0.0064592046214204096
{'n_clusters': 550},0.20378796064314592,0.0028534236251778733,0.17747296174253652,0.006268041654273187
{'n_clusters': 600},0.21346188690306284,0.002481095982505564,0.1850363108882232,0.006689617991247818
{'n_clusters': 650},0.22308874942019793,0.0024250533214232772,0.19090497625684472,0.0069055617487983915
{'n_clusters': 700},0.2319937759297404,0.0028814540238357752,0.1988135268167289,0.007989191353820365
{'n_clusters': 750},0.2415343227042231,0.0032114131712940542,0.20703594564679598,0.008259068047317662
{'n_clusters': 800},0.24990582880979528,0.0031520920813374238,0.21284193980234214,0.008563828507528364
{'n_clusters': 850},0.2586382666153365,0.003178101025597471,0.22122120165414572,0.008880161341263643
{'n_clusters': 900},0.26631935850352556,0.0032183942237638376,0.22639942479400252,0.009775136269722491
{'n_clusters': 950},0.2738199810022697,0.0034574964365881263,0.2318915506793658,0.008443250024586046
{'n_clusters': 1000},0.28075570901260427,0.0034032468400314493,0.23728950475606786,0.007329513919253687
{'n_clusters': 1050},0.2879346607368456,0.003079979388148627,0.24199699690382048,0.007480534741074069
{'n_clusters': 1100},0.2949566644785414,0.0030062949417860828,0.24836786923490095,0.009019796860713974
{'n_clusters': 1150},0.3022768459035237,0.0030793041290155068,0.25376579376132574,0.010709516607945356
{'n_clusters': 1200},0.3085848986319789,0.0035692622610002953,0.2588813506131534,0.009145612437148324
{'n_clusters': 1250},0.3151518693493708,0.0031756485552541154,0.2643106329088239,0.008944096554551783
{'n_clusters': 1300},0.32098133563758974,0.003266248159459926,0.2680766236719982,0.009107275008155289
{'n_clusters': 1350},0.3268735682536579,0.002913536559064192,0.2716857024627891,0.009634513181729492
{'n_clusters': 1400},0.33242843335796,0.0026080233722891918,0.2755772129537778,0.010178858473819578
{'n_clusters': 1450},0.3380382179603754,0.002514028536659944,0.27981394455914876,0.01078236355092944
{'n_clusters': 1500},0.3436479954838702,0.002881210293384743,0.2839565733065056,0.010259658124658509
{'n_clusters': 1550},0.34876348705985294,0.002487498211943387,0.2876284119612037,0.010423597871718059
{'n_clusters': 1600},0.3538711308827624,0.002460190642660422,0.2902960139926473,0.010086844281328916
{'n_clusters': 1650},0.35868063857257243,0.002386561007078746,0.29377957305562374,0.010255542209890936
{'n_clusters': 1700},0.3637412084959877,0.0026689262085049783,0.2973887060219229,0.010193594467306236
{'n_clusters': 1750},0.3686762463792629,0.0027040200506138062,0.3004328475366248,0.010107916557592718
