params,train_mean,train_std,test_mean,test_std
"{'max_leaves': 10, 'n_estimators': 1}",0.06067405794171386,0.0027001867937581627,0.05601119559226346,0.0028638364280534445
"{'max_leaves': 10, 'n_estimators': 2}",0.046803997533324135,0.004143489819688986,0.039809954634104486,0.004700994561834005
"{'max_leaves': 10, 'n_estimators': 3}",0.012851880575269361,0.003560768725717964,0.010505927722396754,0.0031531493184388227
"{'max_leaves': 10, 'n_estimators': 4}",0.013198654742523899,0.002551411475319541,0.011332130141989553,0.0018345691807578125
"{'max_leaves': 10, 'n_estimators': 1}",0.06067405794171386,0.0027001867937581627,0.05601119559226346,0.0028638364280534445
"{'max_leaves': 10, 'n_estimators': 2}",0.046803997533324135,0.004143489819688986,0.039809954634104486,0.004700994561834005
"{'max_leaves': 10, 'n_estimators': 3}",0.012851880575269361,0.003560768725717964,0.010505927722396754,0.0031531493184388227
"{'max_leaves': 10, 'n_estimators': 4}",0.013198654742523899,0.002551411475319541,0.011332130141989553,0.0018345691807578125
"{'max_leaves': 10, 'n_estimators': 5}",0.013906939817712603,0.003930133301949424,0.011509121269313315,0.003520208081815564
"{'max_leaves': 10, 'n_estimators': 6}",0.02036978523347776,0.005607708674421867,0.017086658121456665,0.004683154950053649
"{'max_leaves': 10, 'n_estimators': 7}",0.025777615768340832,0.0038588033080159544,0.02139527091028257,0.0038704319708573864
"{'max_leaves': 10, 'n_estimators': 8}",0.027673684373992223,0.005311115430716024,0.023047849910479062,0.005601225834910982
"{'max_leaves': 10, 'n_estimators': 9}",0.032550301510698806,0.0037573040050674095,0.027267971489668356,0.004180674524562461
"{'max_leaves': 10, 'n_estimators': 10}",0.03419558044417638,0.004831258308825634,0.028713843140056844,0.00471633713071896
"{'max_leaves': 10, 'n_estimators': 11}",0.03716876659233904,0.004435002395573727,0.03113377120023888,0.005362487161702393
"{'max_leaves': 10, 'n_estimators': 12}",0.040805949756836976,0.005696428629094022,0.03328809936477819,0.006013935251104123
"{'max_leaves': 10, 'n_estimators': 13}",0.0430930201698102,0.005725424934132918,0.035471912988462306,0.005474289712040189
"{'max_leaves': 10, 'n_estimators': 14}",0.04411852455604263,0.0059237581760093775,0.03623918367599295,0.00514960911344474
"{'max_leaves': 10, 'n_estimators': 15}",0.04321108473749451,0.004645485176455505,0.03553089261480248,0.003364006811102734
