Ocasión de hacer algo,hacer
Opción,opción
Posibidad,posibilidad
Ganas de que las cosas sucedan rápido,ganar
Desesperación,desesperación
Las personas lo buscan,búsqueda
es lo que piensa una persona,persona
actúa de forma individual,individual
puedeser un lugar el cual sea confortable o seguro,confort
es una posibilidad que el ser humano puede tomar,posibilidad
existen muchas oportunidades en la vida,muchos
concepto irrefutable,irrefutable
no se puede discutir a eso,no discusión
es bien valorado en la sociedad,bien
nadie puede recriminar contra ello,recriminación
no es bueno,mal
situacion de advertencia,advertencia
los elementos peligrosos pueden ocasionar grandes daños,daño
es un tipo de mentira,mentira
se usa para evitar cosas que no agradan a la gente,evitación
una excusa no siempre implica la verdad,no verdad
forma de dar gracias a alguien o algo,gratitud
genera una ponderación negativa en quien la recibe,negativo
consenso entre una o mas partes,consenso
entendendimiento,entendimiento
sublima relaciones interpersonales ,sublimar
cuestionarse en demasia,cuastionamiento
uso de la lógica,lógica
entendimiento,entendimiento
aspiraciones,aspiraciones
no esta relacionada a cabalidad con la razón o la lógica,no lógica
descontrol,descontrol
desenboca en malas decisiones,malas decisiones
estrés,estrés
se origina cuando el bienestar se ve fuertemente amenazado ,amenaza
remordimiento,remordimiento
va acompañada de castigo fisico o psicologico inferido por el entorno o uno mismo,castigo
herramienta para distenderse en el entorno,herramienta
facilita la realización de acciones,facilidad
Algunos humanos nacen facilidades remarcables,facilidad
"puede ser real, creible o efectiva",real
permite el desarrollo de nuevas habilidades,desarrollo
brecha entre un estado actual y la posiblidad de uno mejor,posibilidad
se presentan a lo largo de la vida del individuo,durante la vida
"características de una cosa, objeto o persona",caracterización
detallar algo,datallar
significado,significado
hecho que ocurre en nuestra mente,mente
acción de nuestra mente,mente
circunstancia activa en nuestra mente,mente
evitación de algo ,evación
evadir un hecho por medio de algo que puede o no ser verdad,evación
elegir algo,elección
fortaleza en algo,fuerza
acto que conduce a hacer cosas en exceso,buscar exceso
contrario a decir mentiras,no mentir
no mentir,no mentir
provocado por nervios,nerviosismo
se presenta en situaciones de estrés,estrés
se produce cuando esperamos alguna respuesta o situacion,esperar
se da cuando no podemos esperar mucho para algo,no paciencia
la persona se altera,alteración
algo incontrolable,incontrolable
dar una opinion acerca de algo,opinión
plantear alguna solucion,solución
mostrar un punto de vista propio,punto de vista
cuando tratamos de ayudar a alguien,ayuda
cuando queremos resolver algun problema,solución
la tenemos solo los humanos,humano
nos permite resolver problemas,solución
hace uso de la mente,mente
cuando corremos algun riesgo,riesgo
cuando debemos tener cuidado,cuidado
cuando algo nos puede afectar fisicamente,afectación
motivo por el que nos debemos cuidar,motivación
habilidad,habilidades
cuando alguien es bueno en alguna disciplina,bien
nos permite resolver problemas,problemas
nos permite replantearnos las cosas,replanteamiento
cuando alguien dice la verdad,verdad
caracteriza a las personas buenas,bien
es lo contrario a ser mentiroso,no mentir
una buena ocasión,bien
algo que nos ayuda en todo aspecto,ayuda
idolatrar mucho algo,idolatración
certeza,certeza
recompensa,recompensa
destreza,destreza
habilidad,habilidades
deber,deber
gratitud,gratitud
peligro,peligro
miedo hacia algo especifico,miedo
luego de una mala accion,mal
Se utilizan normalmente frente a un error,error
Faciles de realizar,facilidad
Sentimiento culpa,culpa
valor muy importante,valor
advertencia,advertencia
forma de proteger algo,protección
señala exposicion a algo que puede provocar daños,daño
fuerte necesidad de algo,necesario
no es controlable,descontrol
Una responsabilidad,responsabilidad
es imperioso complirlas,imperioso
muestra de gratitud,gratitud
argumento,argumentación
lógica,lógica
análisis crítico,análisis
cuando algo es lógico,lógica
es subjetiva para cada persona y cosa,subjetivo
tambien relacionado con la lógica,lógica
capacidad,capacidad
segurito (personaje),segurito(personaje)
chance,chance
estrategia,estrategia
Deber,deber
Cuando tienes un trabajo y no puedes fallar,trabajo
Cuando demuestras gratitud,gratitud
Alegria,alegría
Cuando no quieres hacer algo buscas una…,no hacer
Ansiedad,angustia
Nerviosismo,nerviosismo
estar satisfecho con el otro,satisfacción
