PROP: esfuerzo, CODE: dedicación
PROP: aspiraciones, CODE: metas
PROP: meta, CODE: objetivo
PROP: objetivos, CODE: metas
PROP: incomodidad, CODE: molestia
PROP: acecha, CODE: persigue
PROP: presente, CODE: actual
PROP: mal, CODE: negativo
PROP: disuasión, CODE: desaliento
PROP: inevitable, CODE: inevitable
PROP: razonamiento, CODE: lógica
PROP: búsqueda, CODE: búsqueda
PROP: bienestar, CODE: felicidad
PROP: todos, CODE: todos
PROP: no hay en Chile, CODE: no disponible en Chile
PROP: candados, CODE: seguridad
PROP: policias, CODE: autoridad
PROP: países, CODE: naciones
PROP: humano, CODE: persona
PROP: interno, CODE: interno
PROP: bien, CODE: positivo
PROP: personal, CODE: individual
PROP: punto de vista, CODE: perspectiva
PROP: complicado, CODE: complejo
PROP: entendimiento, CODE: comprensión
PROP: ayuda, CODE: apoyo
PROP: humano, CODE: persona
PROP: mal, CODE: negativo
PROP: propensión, CODE: tendencia
PROP: mal, CODE: negativo
PROP: acción, CODE: acto
PROP: ataque, CODE: agresión
PROP: alivio, CODE: tranquilidad
PROP: peligro, CODE: riesgo
PROP: ataque, CODE: agresión
PROP: final, CODE: conclusión
PROP: agresión, CODE: violencia
PROP: perjuicio, CODE: daño
PROP: precisión, CODE: exactitud
PROP: habilidades, CODE: destrezas
PROP: razonamiento, CODE: lógica
PROP: conciencia, CODE: consciencia
PROP: sentimiento, CODE: emoción
PROP: no preocupación, CODE: despreocupación
PROP: comodidad, CODE: confort
PROP: respeto, CODE: consideración
PROP: ayuda, CODE: apoyo
PROP: gratitud, CODE: agradecimiento
PROP: constante, CODE: continuo
PROP: amenaza, CODE: peligro
PROP: miedo, CODE: temor
PROP: adrenalina, CODE: excitación
PROP: lo último que se pierde, CODE: esperanza
PROP: religión, CODE: fe
PROP: anticipación, CODE: expectativa
PROP: solución, CODE: respuesta
PROP: problemas, CODE: dificultades
PROP: eje HPA, CODE: eje hipotalámico-pituitario-adrenal
PROP: dos o más partes, CODE: múltiples partes
PROP: capacidad, CODE: habilidad
PROP: estrés, CODE: tensión
PROP: no alternativa, CODE: sin opción
PROP: no acción, CODE: inacción
PROP: irracional, CODE: ilógico
PROP: relación, CODE: vínculo
PROP: personal/grupal, CODE: individual/colectivo
PROP: Dios, CODE: deidad
PROP: empatía, CODE: compasión
PROP: piedad, CODE: compasión
PROP: razonamiento, CODE: lógica
PROP: características, CODE: atributos
PROP: humano, CODE: persona
PROP: argumentación, CODE: debate
PROP: argumentación, CODE: debate
PROP: acumulación, CODE: acumulación
PROP: cualidad, CODE: atributo
PROP: descontrol, CODE: caos
PROP: beneficios, CODE: ventajas
PROP: utilidad, CODE: beneficio
PROP: ingreso, CODE: entrada
PROP: empresas, CODE: compañías
PROP: dinero, CODE: efectivo
PROP: habilidades, CODE: destrezas
PROP: capacidad, CODE: habilidad
PROP: habilidades, CODE: destrezas
PROP: angustia, CODE: ansiedad
PROP: mal, CODE: negativo
PROP: arrepentimiento, CODE: remordimiento
PROP: personal, CODE: individual
PROP: cavilación, CODE: reflexión
PROP: mente, CODE: pensamiento
PROP: futuro, CODE: porvenir
PROP: creatividad, CODE: inventiva
PROP: valor, CODE: importancia
PROP: angustia, CODE: ansiedad
PROP: ayuda, CODE: apoyo
PROP: ansiedad, CODE: inquietud
PROP: dependencia, CODE: reliance
PROP: trastorno, CODE: desorden
PROP: deseo, CODE: anhelo
PROP: privilegío, CODE: ventaja
PROP: autoestima, CODE: confianza en uno mismo
PROP: límite, CODE: frontera
PROP: mal, CODE: negativo
PROP: remordimiento, CODE: culpa
PROP: trato, CODE: tratamiento
PROP: dinero, CODE: efectivo
PROP: acción, CODE: acto
PROP: gratitud, CODE: agradecimiento
PROP: mente, CODE: pensamiento
PROP: mente, CODE: pensamiento
PROP: mente, CODE: pensamiento
PROP: bien, CODE: positivo
PROP: cohesión, CODE: unidad
PROP: bien/mal, CODE: positivo/negativo
PROP: advertencia, CODE: aviso
PROP: advertencia, CODE: aviso
PROP: tapar, CODE: cubrir
PROP: deber, CODE: obligación
PROP: justificación, CODE: razón
PROP: justificación, CODE: razón
